General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
Sample description,Douglas-Fir-Leaf6-FCD2024Hamins_q50_H_R2,17,20.95169546,104.133012,0.0005744,0.04736345,1.002223,1.00029,5.483,-0.0001,0,0,-1,331.176,334.203,1041.629,0,0
Material name/ID,Douglas-Fir-Leaf6,18,20.951632,106.89724,0.00057634,0.0473351,0.998748,1.000118,5.483,-0.0003,0,0,-1,331.112,334.16,1041.619,0,0
Specimen number,,19,20.95028996,108.047451,0.00068876,0.04734381,0.997265,1.000005,5.483,-0.001,0,0,-1,331.177,334.155,1041.61,0,0
E (MJ/kg),13.1,20,20.95029861,102.816104,0.0006853,0.04738206,1.000358,0.999901,5.483,-0.0011,0,0,-1,331.071,334.151,1041.558,0,0
Initial mass (g),5.2,21,20.95040652,108.837743,0.00068436,0.04733776,0.99997,0.999735,5.483,-0.0018,0,0,-1,331.111,334.094,1041.562,0,0
Thickness (mm),22,22,20.95153949,107.662045,0.00057372,0.04739607,1.004125,0.999748,5.483,-0.0013,0,0,-1,331.111,334.166,1041.53,0,0
Surface area (cm²),100,23,20.95152685,104.707367,0.0006841,0.04738024,1.000352,0.999645,5.483,0.0005,0,0,-1,331.099,334.125,1041.548,0,0
Sponsor,,24,20.95155282,106.003241,0.00068521,0.04734885,0.995098,0.999325,5.483,-0.0001,0,0,-1,331.171,334.193,1041.517,0,0
Manufacturer,,25,20.95018973,105.534402,0.00068465,0.04725272,0.998761,0.999297,5.483,-0.0004,0,0,-1,331.108,334.162,1041.501,0,0
Test start time (s),122,26,20.95019646,101.865904,0.00077209,0.04730245,0.996994,0.999351,5.483,-0.001,0,0,-1,331.148,334.151,1041.508,0,0
Time to ignition (s),4,27,20.95027253,102.382056,0.00076676,0.04731912,1.002455,0.9995,5.483,0.0026,0,0,-1,331.111,334.203,1041.496,0,0
Time to flameout (s),55,28,20.95169994,106.705898,0.00077076,0.04733979,1.00187,0.999509,5.483,0.001,0,0,-1,331.154,334.18,1041.531,0,0
End of test criterion,ASTM E 1354,29,20.95168451,107.782584,0.00077191,0.04736719,0.997666,0.9996,5.483,0.0014,0,0,-1,331.176,334.23,1041.511,0,0
User EOT time (s),,30,20.95061001,97.933301,0.00069135,0.04731374,0.998022,0.999487,5.483,0.0001,0,0,-1,331.124,334.155,1041.516,0,0
MLR EOT mass (g/m²),150,31,20.95033097,107.313229,0.00068463,0.04733654,0.996594,0.999285,5.483,-0.0013,0,0,-1,331.167,334.186,1041.542,0,0
MLR EOT time period (s),60,32,20.94916481,103.103657,0.0006829,0.04726387,0.999711,0.998938,5.483,-0.0012,0,0,-1,331.093,334.196,1041.514,0,0
Truncate graphs at EOT?,No,33,20.95014761,104.470313,0.00068624,0.04731711,1.001339,0.998761,5.483,0.0017,0,0,-1,331.153,334.16,1041.54,0,0
Smooth data?,No,34,20.95018332,102.681071,0.00068614,0.04733342,0.996595,0.999302,5.483,0.0005,0,0,-1,331.144,334.213,1041.475,0,0
Correct O2 for pressure?,No,35,20.9500311,110.436864,0.00068633,0.04735074,0.998023,0.999544,5.483,0.0005,0,0,-1,331.131,334.134,1041.524,0,0
,,36,20.94957521,101.490332,0.00057397,0.04733145,0.996181,0.999235,5.483,-0.0014,0,0,-1,331.175,334.196,1041.5,0,0
Specifications: apparatus,,37,20.94938027,107.310795,0.00057136,0.04735058,0.998087,0.999342,5.483,0.0004,0,0,-1,331.082,334.132,1041.498,0,0
C-factor (SI units),0.042904,38,20.94969688,110.310118,0.00068559,0.04731645,1.004956,0.999275,5.483,0.0009,0,0,-1,331.14,334.129,1041.432,0,0
OD correction factor,1,39,20.95030774,105.154271,0.00068762,0.04726285,1.000606,0.999478,5.483,0,0,0,-1,331.084,334.162,1041.461,0,0
Duct diameter (m),0.114,40,20.9492951,103.701552,0.00068614,0.04738651,0.999651,0.999444,5.483,-0.0008,0,0,-1,331.133,334.127,1041.524,0,0
O2 delay time (s),13,41,20.94933458,107.125533,0.00067928,0.04734536,0.999331,0.99884,5.483,0,0,0,-1,331.16,334.231,1041.585,0,0
CO2 delay time (s),13,42,20.94938816,105.562956,0.00057356,0.04737957,0.99772,0.998921,5.483,-0.0002,0,0,-1,331.142,334.166,1041.602,0,0
CO delay time (s),13,43,20.94999642,106.864867,0.00057571,0.04737742,1.003505,0.998988,5.483,0.0006,0,0,-1,331.189,334.213,1041.599,0,0
,,44,20.95179981,111.788609,0.00057215,0.04726006,1.002514,0.998876,5.483,-0.0002,0,0,-1,331.102,334.181,1041.607,0,0
Laboratory,,45,20.94947566,111.119835,0.000488,0.04738071,0.998833,0.999065,5.483,0.0016,0,0,-1,331.159,334.14,1041.698,0,0
Laboratory name,Cone Lab,46,20.95028258,99.868337,0.00057995,0.04617114,0.999671,0.999096,5.483,-0.0004,0,0,-1,331.136,334.199,1041.67,0,0
Operator,Ickchan Kim,47,20.95037216,105.693208,0.00057344,0.0462513,0.997528,0.999109,5.483,0.0001,0,0,-1,331.13,334.141,1041.67,0,0
Filename,C:\CC5\DATA\24110040.CSV,48,20.951896,107.876837,0.00057102,0.04732085,1.003528,0.999137,5.483,0.0018,0,0,-1,331.179,334.201,1041.667,0,0
Report name,FCD2024Hamins,49,20.94994289,106.434906,0.00068345,0.04738927,1.00121,0.999248,5.483,0.0033,0,0,-1,331.125,334.19,1041.604,0,0
,,50,20.95067292,105.031223,0.00057486,0.04730001,0.999911,0.999349,5.483,0.001,0,0,-1,331.232,334.257,1041.625,0,0
,,51,20.95151465,99.622906,0.00057158,0.04738708,1.000109,0.999248,5.483,0.0006,0,0,-1,331.167,334.266,1041.601,0,0
Pre-test conditions,,52,20.95165274,102.325214,0.00057391,0.04722865,0.996243,0.999257,5.483,-0.0002,0,0,-1,331.219,334.24,1041.595,0,0
Ambient temperature (°C),18.5,53,20.95177773,105.78994,0.00057486,0.04728505,0.999417,0.999426,5.483,-0.0001,0,0,-1,331.234,334.31,1041.558,0,0
Barometric pressure (Pa),98110,54,20.95130339,104.617778,0.00048954,0.04733407,1.003324,0.99951,5.483,-0.0008,0,0,-1,331.186,334.223,1041.568,0,0
Relative humidity (%),31.5,55,20.95146057,107.872351,0.00057525,0.04739331,1.001262,0.999757,5.483,0.0008,0,0,-1,331.238,334.303,1041.551,0,0
,,56,20.95196919,106.619676,0.00049088,0.04734088,1.000107,0.999734,5.483,0.0016,0,0,-1,331.156,334.277,1041.545,0,0
,,57,20.95020582,107.212363,0.00049295,0.04732876,0.994974,0.999875,5.483,0.0017,0,0,-1,331.226,334.239,1041.553,0,0
Conditioning,,58,20.95158163,106.102017,0.00049135,0.04732286,0.996427,0.999877,5.483,0.0001,0,0,-1,331.126,334.226,1041.538,0,0
Conditioned? {Y/N},No,59,20.95133041,105.505929,0.00048911,0.04723817,1.0012,0.999667,5.483,-0.0019,0,0,-1,331.122,334.133,1041.583,0,0
Conditioning temperature (°C),N/A,60,20.95162744,106.022672,0.00057502,0.04737933,0.998622,0.999653,5.483,0.0006,0,0,-1,331.126,334.212,1041.574,0,0
Conditioning RH (%),N/A,61,20.95252384,104.592761,0.00057588,0.04738152,1.002172,0.999405,5.483,0.0002,0,0,-1,331.09,334.156,1041.567,0,0
,,62,20.95238482,106.320106,0.00057468,0.04732052,0.997157,0.998985,5.483,0.0002,0,0,-1,331.157,334.196,1041.551,0,0
Data collected,,63,20.95201768,103.744634,0.00057344,0.04734943,0.996454,0.999232,5.483,0.0002,0,0,-1,331.09,334.201,1041.542,0,0
CO/CO2 data collected?,Yes,64,20.9513581,108.615788,0.00057274,0.04738481,0.999494,0.999304,5.483,-0.0016,0,0,-1,331.15,334.179,1041.571,0,0
Mass data collected?,Yes (2 dp),65,20.95154994,106.335593,0.00057405,0.04726718,0.998479,0.999657,5.483,-0.0007,0,0,-1,331.136,334.231,1041.537,0,0
Smoke data collected?,Yes,66,20.95175098,110.123444,0.00057445,0.0473028,1.000726,1.000078,5.483,0.0026,0,0,-1,331.095,334.128,1041.575,0,0
Soot mass data collected?,No,67,20.95153461,106.499446,0.00057406,0.04728332,0.998939,1.000144,5.483,-0.0026,0,0,-1,331.119,334.192,1041.568,0,0
Soot mass ratio (1:x),N/A,68,20.95156555,105.107971,0.00068678,0.04724328,0.996031,0.999637,5.483,0,0,0,-1,331.027,334.084,1041.59,0,0
Soot mass (g),N/A,69,20.95217068,108.767202,0.00068371,0.04732049,0.999961,0.999569,5.483,0.002,0,0,-1,331.068,334.085,1041.626,0,0
,,70,20.95264476,105.818489,0.00068357,0.04734838,0.999868,0.9995,5.483,0.0003,0,0,-1,330.993,334.081,1041.645,0,0
Comments,,71,20.95266323,109.240537,0.00065057,0.04727982,1.001549,0.999738,5.483,0,0,0,-1,331.015,334.006,1041.658,0,0
Pre-test comments,,72,20.95236393,103.510362,0.0005732,0.04727569,1.001372,1.000081,5.483,-0.0007,0,0,-1,331.017,334.093,1041.636,0,0
After-test comments,,73,20.95258541,105.591812,0.00057632,0.04731642,0.996976,0.999912,5.483,-0.0011,0,0,-1,331.007,334.024,1041.624,0,0
,,74,20.95199077,111.017388,0.00057477,0.04735218,0.996908,0.999636,5.483,0.0009,0,0,-1,331.072,334.095,1041.603,0,0
,,75,20.95251018,106.92448,0.00056933,0.04736081,0.998908,0.999634,5.483,0.0003,0,0,-1,331.018,334.094,1041.594,0,0
,,76,20.95224659,103.243884,0.0005752,0.04729045,0.997465,0.999881,5.483,0.002,0,0,-1,331.105,334.1,1041.618,0,0
,,77,20.95137385,104.604053,0.00057536,0.04733686,0.998712,1.000015,5.483,0.0019,0,0,-1,331.056,334.154,1041.593,0,0
,,78,20.95208199,104.612483,0.00052959,0.04729714,0.996229,0.99995,5.483,0.0001,0,0,-1,331.084,334.099,1041.608,0,0
,,79,20.95227499,104.895137,0.00049073,0.0473991,0.993458,0.9998,5.483,0.0034,0,0,-1,331.112,334.176,1041.589,0,0
,,80,20.95161842,111.575126,0.00049278,0.04727239,0.995435,0.999676,5.483,-0.0018,0,0,-1,331.044,334.105,1041.604,0,0
,,81,20.95132267,107.272167,0.00049007,0.04728308,0.996683,0.999627,5.483,-0.0005,0,0,-1,331.086,334.104,1041.582,0,0
,,82,20.95230422,107.356407,0.00049118,0.04732203,1.003162,0.999563,5.483,-0.0005,0,0,-1,330.967,334.063,1041.552,0,0
,,83,20.95256015,102.562055,0.00049242,0.04732272,0.998883,0.999565,5.483,0.0015,0,0,-1,331.005,334.016,1041.567,0,0
,,84,20.95187072,110.084244,0.00049127,0.0473174,0.998356,0.999813,5.483,-0.0002,0,0,-1,330.981,334.064,1041.541,0,0
Events,,85,20.95222074,104.887292,0.00049098,0.04724054,0.998151,0.999859,5.483,0.0016,0,0,-1,330.95,333.972,1041.552,0,0
Number of events,0,86,20.95204243,105.547542,0.00048975,0.04631251,0.995093,0.999886,5.483,0.0022,0,0,-1,331.007,334.032,1041.536,0,0
,,87,20.95232454,106.856942,0.00049219,0.04621863,1.001027,1.000056,5.483,0.0012,0,0,-1,330.959,334.005,1041.531,0,0
,,88,20.95212056,102.871434,0.00048996,0.04617966,1.001735,0.999998,5.483,0.0025,0,0,-1,331.047,334.014,1041.545,0,0
,,89,20.9526111,106.901025,0.00049148,0.04608072,0.998028,1.000043,5.483,0.0007,0,0,-1,330.984,334.052,1041.489,0,0
,,90,20.9524971,104.503899,0.00056942,0.04617344,0.997915,0.999846,5.483,0.0038,0,0,-1,331.019,334.015,1041.516,0,0
,,91,20.95228349,107.923053,0.00057324,0.04626109,0.993383,0.999668,5.483,-0.0004,0,0,-1,331.027,334.084,1041.444,0,0
,,92,20.95163182,108.552067,0.00057074,0.04622321,0.997122,0.999652,5.483,0.0008,0,0,-1,330.979,334.022,1041.432,0,0
,,93,20.95142896,111.162933,0.00057886,0.04623296,0.999208,0.999849,5.483,0.0005,0,0,-1,331.02,334.031,1041.421,0,0
,,94,20.94998794,104.764243,0.00068215,0.04731394,0.998525,0.999913,5.483,-0.0021,0,0,-1,330.937,333.999,1041.465,0,0
,,95,20.95009527,105.077447,0.00068285,0.04728679,1.00014,0.999698,5.483,0.0002,0,0,-1,331.004,333.988,1041.482,0,0
,,96,20.95059834,104.404675,0.00068689,0.04734969,0.997201,0.999741,5.483,0,0,0,-1,330.964,334.016,1041.371,0,0
,,97,20.94997231,106.375017,0.00068307,0.04734743,0.995996,0.999747,5.483,0,0,0,-1,330.95,333.953,1041.488,0,0
,,98,20.95025262,110.711829,0.00068425,0.04726919,1.001871,1.000321,5.483,0.0004,0,0,-1,330.965,333.997,1041.49,0,0
,,99,20.95025825,106.355025,0.00057649,0.04730624,1.002992,1.00061,5.483,0.0005,0,0,-1,330.897,333.933,1041.507,0,0
,,100,20.95013248,107.672695,0.00057148,0.04727551,1.009502,1.000603,5.483,0.0018,0,0,-1,330.958,333.926,1041.609,0,0
,,101,20.95187987,106.337952,0.00057287,0.04732891,0.998038,1.00073,5.483,0.0012,0,0,-1,330.879,333.924,1041.712,0,0
,,102,20.95216694,106.959277,0.00057778,0.0473311,0.995396,1.000557,5.483,0.0001,0,0,-1,330.914,333.896,1041.793,0,0
,,103,20.95171839,109.685054,0.00068414,0.04726748,0.99611,1.000069,5.483,-0.0012,0,0,-1,330.891,333.933,1042.104,0,0
,,104,20.95054677,109.573211,0.00068142,0.04732663,0.998021,1.000089,5.483,0.0002,0,0,-1,330.851,333.859,1042.276,0,0
,,105,20.94934398,110.56164,0.00057666,0.04741101,1.00135,1.000634,5.483,0.0003,0,0,-1,330.903,333.877,1042.529,0,0
,,106,20.95055139,107.104525,0.00057516,0.04844159,0.997338,1.000178,5.483,0.0008,0,0,-1,330.762,333.743,1042.789,0,0
,,107,20.9499711,108.008843,0.00057842,0.04841163,0.999741,1.000158,5.483,-0.0019,0,0,-1,330.701,333.609,1042.985,0,0
,,108,20.95161221,109.070528,0.00057356,0.04848581,0.997132,1.000144,5.483,-0.0003,0,0,-1,330.512,333.477,1043.16,0,0
,,109,20.95172705,108.175897,0.00049232,0.04846247,0.993705,1.000118,5.483,-0.0002,0,0,-1,330.423,333.281,1043.393,0,0
,,110,20.95231504,111.268464,0.00049092,0.04844943,0.998531,1.000239,5.483,0.0009,0,0,-1,330.309,333.191,1043.576,0,0
,,111,20.95122489,111.753923,0.00049051,0.0483754,1.002441,1.000078,5.483,-0.0008,0,0,-1,330.107,332.945,1043.673,0,0
,,112,20.94775781,109.878113,0.00049181,0.04925073,0.994571,1.000285,5.483,0.0028,0,0,-1,330.034,332.818,1043.777,0,0
,,113,20.94422784,106.206019,0.00057408,0.04929013,0.997237,1.000461,5.483,0.0017,0,0,-1,329.838,332.669,1043.778,0,0
,,114,20.9431495,112.275892,0.00048606,0.05040679,0.996857,1.000256,5.483,-0.0001,0,0,-1,329.857,332.57,1043.809,0,0
,,115,20.94358016,110.131277,0.00049052,0.05042919,0.999433,1.000113,5.483,-0.0017,0,0,-1,329.776,332.555,1043.76,0,0
,,116,20.94399532,104.736094,0.0004863,0.05124149,1.005314,1.000653,5.483,-0.001,0,0,-1,329.762,332.466,1043.703,0,0
,,117,20.94410301,107.323319,0.00057025,0.05116985,1.002525,1.000637,5.483,-0.0012,0,0,-1,329.787,332.526,1043.598,0,0
,,118,20.94541108,107.077017,0.00057315,0.05125592,0.998418,1.000125,5.483,-0.0019,0,0,-1,329.721,332.466,1043.489,0,0
,,119,20.94513331,103.413064,0.00049065,0.0512897,0.999541,1.00025,5.483,0.0007,0,0,-1,329.807,332.489,1043.354,0,0
,,120,20.94378663,110.440638,0.000491,0.05230647,0.999178,1.000172,5.483,0.0023,0,0,-1,329.762,332.542,1043.189,0,0
,,121,20.94196426,111.438844,0.00049271,0.05239339,1.004395,1.000221,5.483,-0.0002,0,0,-1,329.854,332.556,1043.055,0,0
,,122,20.93981854,108.915381,0.00057654,0.05232623,1.002808,1.000303,5.481452,0.0018,0,0,-1,329.914,332.694,1042.823,0,0
,,123,20.93894415,103.134308,0.00068522,0.05320942,0.999473,1.000634,5.384737,0.0029,0,0,-1,329.919,332.688,1042.671,0,0
,,124,20.93719322,106.383696,0.00069003,0.05321514,0.994937,1.000621,5.297656,0.0003,0,0,-1,330.019,332.79,1042.439,0,0
,,125,20.93690677,103.802392,0.00076841,0.05433852,0.996003,1.000369,5.25903,0.0019,0,0,-1,329.992,332.809,1042.153,0,0
,,126,20.93890055,107.789562,0.00076927,0.05439807,0.999282,1.000023,5.189493,0.0013,0,0,-1,330.093,332.854,1041.934,0,0
,,127,20.93975884,102.299825,0.00077148,0.05431564,0.984449,1.000189,5.063584,-0.0019,0,0,-1,330.083,332.944,1041.729,0,0
,,128,20.93993207,102.368578,0.00077168,0.05438727,0.936722,1.000424,5.014895,-0.0001,0,0,-1,330.174,333.115,1041.795,0,0
,,129,20.94109724,85.468123,0.0007698,0.05428082,0.941033,1.000287,4.792773,0.0019,0,0,-1,331.114,334.467,1041.882,0,0
,,130,20.94164903,80.775945,0.00077238,0.05318973,0.94741,0.999595,4.486497,-0.0003,0,0,-1,332.71,336.387,1041.872,0,0
,,131,20.94049916,80.65276,0.00076897,0.05321678,0.937191,0.999419,4.236261,-0.0012,0,0,-1,334.415,338.445,1041.855,0,0
,,132,20.92470643,85.132075,0.00076931,0.05317424,0.934106,0.998931,3.986923,0.0008,0,0,-1,335.797,340.36,1041.731,0,0
,,133,20.90959357,83.877934,0.00088564,0.05319504,0.931057,0.998816,3.717974,-0.0006,0,0,-1,337.245,342.189,1041.679,0,0
,,134,20.88350527,89.453109,0.00100035,0.05450041,0.903417,0.999364,3.494226,-0.0029,0,0,-1,338.516,343.926,1041.634,0,0
,,135,20.78361666,87.874926,0.00139046,0.06535276,0.887129,0.999162,3.36751,0.002,0,0,-1,339.622,345.33,1041.648,0,0
,,136,20.50312642,87.14507,0.00217373,0.08912796,0.822259,0.999113,3.244091,0.0005,0,0,-1,340.666,346.711,1041.61,0,0
,,137,20.16956753,89.063929,0.0030755,0.11785588,0.870581,0.998917,3.032753,0.0003,0,0,-1,341.533,347.923,1041.575,0,0
,,138,20.02057564,89.105716,0.00390613,0.15004545,0.858985,0.999562,2.872259,0.0011,0,0,-1,342.303,348.875,1041.558,0,0
,,139,19.89388183,84.642514,0.00466684,0.20162825,0.880769,0.999497,2.737486,0.0018,0,0,-1,343.234,350.164,1041.452,0,0
,,140,19.85862695,91.306004,0.00528403,0.23348668,0.866878,0.999486,2.595542,0.0006,0,0,-1,343.981,351.04,1041.432,0,0
,,141,19.85288076,96.725725,0.00589438,0.2788819,0.86287,1.000197,2.348642,0.0002,0,0,-1,344.575,351.893,1041.464,0,0
,,142,19.8775408,92.534875,0.00637723,0.3270702,0.882224,1.000259,2.170255,0.003,0,0,-1,345.119,352.569,1041.54,0,0
,,143,19.90030071,92.12446,0.00690826,0.38520522,0.86471,1.000294,2.076281,0.0021,0,0,-1,345.681,353.251,1041.703,0,0
,,144,19.91669537,91.342136,0.00770201,0.43715011,0.893047,0.999895,1.905116,0.0011,0,0,-1,346.088,353.849,1042.065,0,0
,,145,19.94467757,93.237448,0.00866344,0.48279268,0.845381,0.999911,1.779574,-0.0014,0,0,-1,346.541,354.325,1042.431,0,0
,,146,19.98064956,92.321603,0.00928653,0.53372887,0.868235,0.999731,1.673086,-0.0001,0,0,-1,346.888,354.808,1042.617,0,0
,,147,20.02458767,96.287057,0.01010342,0.58606993,0.874753,0.99993,1.570698,0.0022,0,0,-1,347.15,355.079,1042.436,0,0
,,148,20.07036261,94.304481,0.01069142,0.63957846,0.876081,0.999885,1.417482,0.001,0,0,-1,347.397,355.424,1042.108,0,0
,,149,20.10587198,97.082384,0.01169739,0.70257026,0.864815,1.000174,1.314598,0.0007,0,0,-1,347.497,355.576,1041.822,0,0
,,150,20.13404319,95.382551,0.01239941,0.7565633,0.887514,1.000289,1.273814,0.0012,0,0,-1,347.761,355.817,1041.468,0,0
,,151,20.1547508,95.605814,0.01278599,0.78522665,0.889052,1.000858,1.199759,0.0024,0,0,-1,347.873,356.013,1041.143,0,0
,,152,20.1778499,100.158507,0.01330051,0.78947795,0.907867,1.001053,1.13866,0.0004,0,0,-1,348.053,356.084,1040.739,0,0
,,153,20.20441329,99.562175,0.01369489,0.77450156,0.921694,1.000681,0.990144,-0.0007,0,0,-1,348.076,356.198,1040.689,0,0
,,154,20.23392374,99.757859,0.01397911,0.75491821,0.923935,1.000557,0.866975,0.0016,0,0,-1,348.026,356.084,1040.684,0,0
,,155,20.28115511,102.4652,0.01418318,0.72532147,0.940903,1.000348,0.862482,0.0018,0,0,-1,348.001,356.015,1040.552,0,0
,,156,20.33019698,103.42019,0.01439706,0.7029068,0.94165,1.000213,0.909465,0.0027,0,0,-1,347.799,355.825,1040.296,0,0
,,157,20.36782208,100.22448,0.01458383,0.68319792,0.963306,1.000233,0.873528,0.0008,0,0,-1,347.753,355.638,1040.19,0,0
,,158,20.41088053,103.652648,0.01478827,0.65126518,0.979963,1.000369,0.779879,0.0018,0,0,-1,347.56,355.456,1040.303,0,0
,,159,20.46084544,100.996194,0.01489627,0.62126142,0.981226,1.000688,0.767652,-0.0001,0,0,-1,347.388,355.143,1040.365,0,0
,,160,20.50282919,103.402957,0.01489981,0.59547854,0.979083,1.00101,0.74605,0.0013,0,0,-1,347.18,354.877,1040.286,0,0
,,161,20.54916091,104.901735,0.01479395,0.56616716,0.974879,1.000735,0.756962,-0.0001,0,0,-1,346.86,354.483,1040.405,0,0
,,162,20.59549241,100.980329,0.01470012,0.53919153,0.978106,1.000633,0.843807,0.0018,0,0,-1,346.656,354.172,1040.669,0,0
,,163,20.63171841,107.747857,0.0146968,0.50540233,0.984909,1.000388,0.893312,-0.0013,0,0,-1,346.342,353.824,1040.639,0,0
,,164,20.66660959,105.779785,0.01470234,0.48118246,0.983357,1.000656,0.756146,-0.0026,0,0,-1,346.131,353.426,1040.983,0,0
,,165,20.69794003,101.616976,0.01470021,0.45606848,0.980777,1.000763,0.672623,0.0008,0,0,-1,345.808,353.099,1041.117,0,0
,,166,20.72508576,104.890327,0.01470947,0.42232675,0.976453,1.000988,0.714161,0.0002,0,0,-1,345.537,352.687,1041.117,0,0
,,167,20.74998371,103.369477,0.01477816,0.39914113,0.975636,1.000871,0.75398,0,0,0,-1,345.305,352.383,1041.265,0,0
,,168,20.77148571,103.681517,0.01489955,0.36823572,0.98322,1.00089,0.751673,0.0003,0,0,-1,344.925,351.964,1041.396,0,0
,,169,20.78929561,103.951199,0.01517523,0.33815515,0.982522,1.000393,0.729844,0.0027,0,0,-1,344.744,351.61,1041.503,0,0
,,170,20.80719866,111.257287,0.01540634,0.30963682,0.98361,1.000764,0.69852,0.0002,0,0,-1,344.443,351.308,1041.598,0,0
,,171,20.81936828,105.802202,0.01579377,0.28092227,0.978884,1.000793,0.650694,0.0004,0,0,-1,344.267,350.986,1041.691,0,0
,,172,20.83010012,105.796617,0.0160759,0.2579359,0.970543,1.000567,0.623068,0.0034,0,0,-1,344.073,350.773,1041.716,0,0
,,173,20.83352837,106.687552,0.01630269,0.24218175,0.976336,1.000087,0.639236,-0.0002,0,0,-1,343.818,350.422,1041.753,0,0
,,174,20.83999749,99.221251,0.01661194,0.22034127,0.982279,1.000593,0.563718,0.0003,0,0,-1,343.679,350.202,1041.738,0,0
,,175,20.84414232,102.887728,0.01689036,0.20261595,0.989735,1.000481,0.545109,0.0002,0,0,-1,343.41,349.923,1041.725,0,0
,,176,20.84700913,104.591097,0.01719782,0.18937428,0.977877,1.000462,0.572161,0.0013,0,0,-1,343.323,349.677,1041.749,0,0
,,177,20.84733482,108.682087,0.01762265,0.17950083,0.976163,1.000387,0.587094,-0.0003,0,0,-1,343.101,349.485,1041.657,0,0
,,178,20.84697782,104.202038,0.01789433,0.16844961,0.983202,1.000514,0.527025,0.0005,0,0,-1,342.936,349.219,1041.638,0,0
,,179,20.84715138,101.030723,0.01809766,0.1601523,0.985014,1.000546,0.53201,0.0027,0,0,-1,342.811,349.048,1041.591,0,0
,,180,20.84812508,103.543939,0.01848543,0.15354085,0.988634,1.000818,0.532035,0,0,0,-1,342.552,348.717,1041.566,0,0
,,181,20.84994442,107.119648,0.01868336,0.14745944,0.984896,1.000749,0.467865,-0.0021,0,0,-1,342.399,348.463,1041.553,0,0
,,182,20.85201647,107.488531,0.01879346,0.14232022,0.974429,1.000712,0.441249,0.0001,0,0,-1,342.141,348.234,1041.486,0,0
,,183,20.85669651,105.969436,0.01868426,0.1372716,0.979779,1.000396,0.503136,-0.0019,0,0,-1,342.058,347.991,1041.44,0,0
