General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.9504881,107.725913,0.0009658,0.04735622,1.002566,1.001009,5.483,-0.0021,0,0,-1,331.229,334.389,1041.483,0,0
Standard used,ASTM E 1354,1,20.94997019,107.858345,0.00077088,0.0473506,1.000743,1.000845,5.483,-0.0008,0,0,-1,331.3,334.384,1041.482,0,0
Date of test,22/11/2024,2,20.94945816,107.981396,0.000578,0.04734538,0.998913,1.000681,5.483,0.0005,0,0,-1,331.37,334.379,1041.481,0,0
Time of test,13:09:05,3,20.94947093,107.262013,0.00056907,0.04737517,0.996574,1.000555,5.483,0.0003,0,0,-1,331.356,334.456,1041.439,0,0
Heat flux (kW/m²),50,4,20.94934381,106.595254,0.00057672,0.04731635,1.001537,1.000501,5.483,-0.0013,0,0,-1,331.294,334.33,1041.472,0,0
Nominal duct flow rate (l/s),24,5,20.95039261,104.324502,0.00057011,0.04620168,1.001162,1.000583,5.483,-0.0022,0,0,-1,331.282,334.355,1041.485,0,0
Sampling interval (s),1,6,20.95148333,104.442394,0.00056993,0.04621951,1.002556,1.000719,5.483,-0.0003,0,0,-1,331.224,334.313,1041.484,0,0
Separation (mm),25,7,20.95154661,104.297362,0.00057767,0.04615405,1.000705,1.000686,5.483,0.0008,0,0,-1,331.28,334.298,1041.532,0,0
Orientation,Horizontal,8,20.95243545,110.63482,0.00057453,0.04624067,0.9953,1.000579,5.483,-0.0005,0,0,-1,331.215,334.312,1041.535,0,0
Edge frame?,No,9,20.95177025,107.288451,0.00057556,0.04623306,0.997989,1.000491,5.483,0,0,0,-1,331.232,334.266,1041.583,0,0
Grid?,No,10,20.95140454,102.240504,0.00057324,0.04623962,0.998677,1.000189,5.483,-0.0011,0,0,-1,331.271,334.362,1041.544,0,0
Non-scrubbed?,Yes,11,20.95174045,103.265238,0.00057677,0.04738427,1.00105,1.000319,5.483,0.001,0,0,-1,331.222,334.287,1041.578,0,0
Substrate used? {Y/N},No,12,20.9504528,100.510364,0.00068063,0.04731996,1.003279,1.000205,5.483,-0.0007,0,0,-1,331.258,334.286,1041.608,0,0
Substrate,none,13,20.95015047,107.976284,0.00057314,0.04738368,0.992876,1.00012,5.483,-0.0004,0,0,-1,331.155,334.236,1041.593,0,0
Additional specimen preparation details,Conditioned in dessicator. 70mm insulation backing. Al foil pan,14,20.95124942,108.30367,0.00057672,0.04724712,0.997692,1.000094,5.483,0.0011,0,0,-1,331.161,334.15,1041.633,0,0
,,15,20.95212264,106.865061,0.00068652,0.04731465,1.000275,1.000082,5.483,0.0016,0,0,-1,331.096,334.193,1041.613,0,0
Specimen,,16,20.95167746,104.34034,0.00068407,0.04727792,0.999962,1.000175,5.483,0.0009,0,0,-1,331.098,334.101,1041.643,0,0
