General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,96,20.93911131,103.952402,0.00138893,0.05227746,1.024174,1.024844,22.146,-0.0008,0,0,-1,325.923,328.541,1043.079,0,0
,,97,20.93929516,103.12577,0.00145664,0.05239042,1.025409,1.025823,22.146,0.0005,0,0,-1,326.027,328.608,1042.967,0,0
,,98,20.93882194,109.831692,0.0014678,0.05323744,1.027268,1.026352,22.146,-0.0002,0,0,-1,326.059,328.706,1042.802,0,0
,,99,20.93913853,109.575235,0.00146752,0.05315087,1.034015,1.027157,22.14504,0.0007,0,0,-1,326.088,328.688,1042.778,0,0
,,100,20.93904706,109.893821,0.00146443,0.05323629,1.029387,1.02795,22.112163,-0.0003,0,0,-1,326.163,328.816,1042.643,0,0
,,101,20.93918151,109.316993,0.001395,0.05422126,1.027135,1.028987,22.035516,-0.0006,0,0,-1,326.173,328.857,1042.402,0,0
,,102,20.93936951,107.177518,0.00138482,0.0543542,1.031358,1.030113,21.913826,-0.0007,0,0,-1,326.317,328.95,1042.193,0,0
,,103,20.9390623,106.106061,0.00130808,0.05435397,1.030802,1.030708,21.966545,-0.0006,0,0,-1,326.313,329.024,1041.955,0,0
,,104,20.94100577,109.355242,0.00137668,0.05432399,1.035987,1.03211,22.048033,-0.0005,0,0,-1,326.386,329.033,1041.724,0,0
,,105,20.9422356,108.675323,0.00131066,0.0543579,1.030711,1.03299,22.012822,-0.0003,0,0,-1,326.428,329.153,1041.397,0,0
,,106,20.94408497,101.724517,0.00129656,0.05435723,1.027063,1.033893,21.965891,0.0007,0,0,-1,326.431,329.139,1041.182,0,0
,,107,20.94539902,105.143223,0.0013012,0.05426483,1.025511,1.034781,21.914345,-0.0005,0,0,-1,326.525,329.235,1040.905,0,0
,,108,20.94532842,111.712554,0.00129831,0.05337886,1.02436,1.035258,21.87753,-0.0005,0,0,-1,326.461,329.246,1040.639,0,0
,,109,20.94542088,108.305166,0.00130168,0.05318612,1.030925,1.036085,21.849014,-0.0008,0,0,-1,326.541,329.275,1040.42,0,0
,,110,20.9461977,107.179183,0.00130153,0.05325604,1.020684,1.036776,21.874725,0.0007,0,0,-1,326.542,329.333,1040.197,0,0
,,111,20.94656522,104.701306,0.00130332,0.05247674,1.014566,1.037552,21.858828,-0.0005,0,0,-1,326.582,329.314,1040.038,0,0
,,112,20.94656519,104.812224,0.00120021,0.05242466,1.012255,1.038429,21.771709,-0.0003,0,0,-1,326.635,329.434,1039.901,0,0
,,113,20.94682517,101.817541,0.00118822,0.05137366,1.004311,1.039554,21.698535,-0.0005,0,0,-1,326.641,329.459,1039.816,0,0
,,114,20.94691062,107.05429,0.00118781,0.0512156,0.999777,1.040146,21.732271,-0.0005,0,0,-1,326.784,329.572,1039.734,0,0
,,115,20.9464152,102.23095,0.0010881,0.05115938,1.003872,1.040693,21.794465,-0.0003,0,0,-1,326.784,329.625,1039.71,0,0
,,116,20.94627906,109.07603,0.00107801,0.05126826,0.987457,1.041372,21.784317,0.0007,0,0,-1,326.847,329.645,1039.776,0,0
,,117,20.94635073,105.877589,0.00107399,0.05048207,0.972079,1.04218,21.710848,0.0013,0,0,-1,326.879,329.752,1039.798,0,0
,,118,20.94676377,107.880646,0.00106718,0.05046497,0.97114,1.042816,21.636741,-0.0009,0,0,-1,326.934,329.768,1039.915,0,0
,,119,20.94710169,104.812425,0.0011795,0.050381,0.964921,1.043251,21.592383,0.0001,0,0,-1,327.047,329.925,1040.016,0,0
,,120,20.94677571,102.912468,0.00129,0.05039182,0.959512,1.04395,21.600584,0,0,0,-1,327.062,329.956,1040.187,0,0
,,121,20.94602966,106.237267,0.00129901,0.05053447,0.933645,1.04456,21.648178,-0.0003,0,0,-1,327.196,330.033,1040.265,0,0
,,122,20.94564631,107.678425,0.00145591,0.05042252,0.918684,1.045231,21.491434,0.0011,0,0,-1,327.177,330.113,1040.383,0,0
,,123,20.94443169,111.224085,0.00146825,0.05044077,0.908391,1.045888,21.32994,0.0017,0,0,-1,327.259,330.129,1040.557,0,0
,,124,20.94465675,104.316854,0.00157014,0.05044219,0.8972,1.046539,21.378729,0.0002,0,0,-1,327.315,330.276,1040.77,0,0
,,125,20.94350478,91.984568,0.00168649,0.05121202,1.008959,1.047197,21.317191,0.0024,0,0,-1,327.437,330.495,1041.282,0,0
,,126,20.94281584,89.97668,0.00187823,0.05124531,0.981379,1.048261,21.115798,0.0015,0,0,-1,328.261,331.539,1041.757,0,0
,,127,20.9393072,93.052221,0.00205821,0.05221864,0.986641,1.048705,20.830389,0.0013,0,0,-1,329.366,332.954,1042.143,0,0
,,128,20.93515581,79.185494,0.00225343,0.05314323,0.997077,1.049088,20.561901,0.003,0,0,-1,330.749,334.523,1042.507,0,0
,,129,20.92564917,88.518034,0.00254382,0.05322026,1.00204,1.049629,20.281973,0,0,0,-1,331.919,336.152,1042.848,0,0
,,130,20.91428431,92.840473,0.00285191,0.0542304,0.981198,1.050196,20.120612,0.0003,0,0,-1,333.043,337.537,1043.223,0,0
,,131,20.87204277,93.383756,0.00324431,0.05908516,0.97685,1.050306,19.968789,0.002,0,0,-1,334.131,339.021,1043.402,0,0
,,132,20.7173265,87.686888,0.00398183,0.0732455,0.969881,1.051149,19.745866,-0.0005,0,0,-1,335.168,340.386,1043.531,0,0
,,133,20.50244765,88.105842,0.00458629,0.09321443,0.96976,1.051217,19.542875,-0.0006,0,0,-1,336.303,341.824,1043.6,0,0
,,134,20.27794245,93.563827,0.00537518,0.12422943,0.976934,1.0518,19.391721,-0.0005,0,0,-1,337.248,343.178,1043.591,0,0
,,135,20.17388232,89.262162,0.00602433,0.14909805,0.983138,1.051985,19.144053,-0.0004,0,0,-1,338.072,344.174,1043.585,0,0
,,136,20.0853982,83.102831,0.00672918,0.18469631,0.97781,1.05281,18.850646,0.0004,0,0,-1,339.246,345.797,1043.426,0,0
,,137,20.04940328,85.594358,0.00704549,0.22679127,0.982935,1.05294,18.641061,0.0014,0,0,-1,340.21,346.997,1043.323,0,0
,,138,20.00542717,84.089115,0.0072495,0.27292332,0.964619,1.053564,18.424466,0.0007,0,0,-1,341.196,348.269,1043.141,0,0
,,139,19.96491565,85.940361,0.00775263,0.31777845,0.971918,1.054251,18.22264,0.0006,0,0,-1,342.015,349.403,1042.909,0,0
,,140,19.94778593,89.629831,0.00823127,0.36486083,0.981912,1.054625,18.024515,0.0012,0,0,-1,342.904,350.461,1042.758,0,0
,,141,19.94345761,88.179346,0.00883807,0.41848842,0.979822,1.054911,17.792124,0.0013,0,0,-1,343.615,351.476,1042.522,0,0
,,142,19.94898803,89.466854,0.00925096,0.47634463,0.984462,1.055316,17.598488,0.0002,0,0,-1,344.341,352.347,1042.345,0,0
,,143,19.95300894,86.433858,0.00952166,0.53098214,0.989187,1.055551,17.375403,0.0009,0,0,-1,345.012,353.285,1042.138,0,0
,,144,19.95670626,87.818718,0.00975592,0.58351069,0.988776,1.056029,17.200616,0.0003,0,0,-1,345.582,354.008,1041.934,0,0
,,145,19.96270757,90.06374,0.01012962,0.64509344,0.993508,1.056528,17.065213,0.0008,0,0,-1,346.207,354.767,1041.703,0,0
,,146,19.97122659,92.92811,0.01044901,0.70919848,0.987783,1.056416,16.816855,-0.0002,0,0,-1,346.63,355.42,1041.518,0,0
,,147,19.99555946,88.750038,0.01056579,0.7673521,0.963189,1.057238,16.629508,0.0011,0,0,-1,347.175,355.999,1041.399,0,0
,,148,20.0231496,92.852322,0.01077556,0.80853851,0.973592,1.057818,16.510628,0.001,0,0,-1,347.629,356.668,1041.249,0,0
,,149,20.04968919,84.032099,0.01087755,0.82524677,0.97362,1.058349,16.386241,0.0018,0,0,-1,348.185,357.283,1041.207,0,0
,,150,20.07807911,94.446588,0.01088851,0.83046246,0.971886,1.058971,16.106547,0.0015,0,0,-1,348.772,358.002,1041.111,0,0
,,151,20.10285693,85.734419,0.01089089,0.82892903,0.962701,1.059487,15.902417,0.001,0,0,-1,349.248,358.616,1041.069,0,0
,,152,20.12511162,89.166948,0.01088706,0.82525531,0.972479,1.059616,15.774491,-0.0004,0,0,-1,349.804,359.236,1041.033,0,0
,,153,20.13686503,93.457621,0.01088539,0.81936822,0.984743,1.05983,15.581972,-0.0002,0,0,-1,350.245,359.885,1041.002,0,0
,,154,20.14492174,88.623227,0.01081068,0.80962776,0.977212,1.060182,15.382006,-0.0006,0,0,-1,350.802,360.516,1041.062,0,0
,,155,20.14437856,88.371235,0.01070972,0.79966051,0.975897,1.060449,15.213693,0.0009,0,0,-1,351.298,361.208,1041.059,0,0
,,156,20.1455003,90.528547,0.01069456,0.79015882,0.97042,1.060298,15.059382,-0.0005,0,0,-1,351.747,361.75,1041.189,0,0
,,157,20.14409022,86.939965,0.01059096,0.77950791,0.978199,1.060873,14.916552,-0.0002,0,0,-1,352.268,362.393,1041.306,0,0
,,158,20.14548032,87.779494,0.01057601,0.76837666,0.954781,1.061693,14.757398,-0.0002,0,0,-1,352.703,363.031,1041.585,0,0
,,159,20.1481985,90.668166,0.01050001,0.76020355,0.939892,1.062039,14.517278,-0.0005,0,0,-1,353.29,363.7,1041.544,0,0
,,160,20.14107496,84.803087,0.010401,0.7512272,0.937457,1.062368,14.212505,0,0,0,-1,353.783,364.404,1041.606,0,0
,,161,20.13356518,87.194693,0.01031551,0.74391795,0.941196,1.062348,13.994349,-0.0007,0,0,-1,354.301,364.992,1041.537,0,0
,,162,20.13093185,87.383095,0.01020645,0.73506232,0.928803,1.063073,13.81971,-0.0005,0,0,-1,354.864,365.762,1041.719,0,0
,,163,20.12957931,87.297786,0.01011865,0.7306794,0.92959,1.06337,13.671485,0.0001,0,0,-1,355.354,366.377,1041.619,0,0
,,164,20.11497065,94.39257,0.01010648,0.72824209,0.946164,1.06441,13.462125,0.0022,0,0,-1,355.976,367.122,1041.786,0,0
,,165,20.08737041,92.062566,0.01017376,0.72900228,0.937959,1.064257,13.299919,0.0017,0,0,-1,356.452,367.826,1041.606,0,0
,,166,20.06807927,86.261301,0.01018899,0.73194447,0.934565,1.064236,13.090807,0.0027,0,0,-1,357.015,368.455,1042.03,0,0
,,167,20.04957189,86.918231,0.0102864,0.73569418,0.917712,1.06478,12.876098,-0.0003,0,0,-1,357.51,369.159,1041.807,0,0
,,168,20.0330612,85.908542,0.01047291,0.7424498,0.904607,1.064312,12.687851,0.0018,0,0,-1,357.968,369.692,1041.832,0,0
,,169,20.01720801,95.567891,0.01057103,0.74946495,0.904565,1.064346,12.458553,0.0015,0,0,-1,358.475,370.357,1041.592,0,0
,,170,20.0078705,85.629276,0.01085492,0.75800141,0.898983,1.064934,12.226515,-0.0002,0,0,-1,358.878,370.902,1041.866,0,0
,,171,20.00388065,88.236551,0.01109902,0.76486228,0.898355,1.065131,12.073246,0.0013,0,0,-1,359.344,371.394,1041.958,0,0
,,172,20.00118268,91.297841,0.01110952,0.77250524,0.882132,1.065492,11.888554,0.0022,0,0,-1,359.632,371.857,1041.979,0,0
,,173,20.00113672,90.640409,0.01119294,0.78066451,0.889559,1.066009,11.652537,0.0018,0,0,-1,359.981,372.174,1041.986,0,0
,,174,19.99946282,81.433688,0.01128077,0.78764394,0.904604,1.06638,11.461431,0.0012,0,0,-1,360.315,372.664,1041.958,0,0
,,175,19.99679621,89.826413,0.01146732,0.79635912,0.894309,1.066558,11.273457,-0.0007,0,0,-1,360.706,373.103,1041.91,0,0
,,176,19.99100071,87.48574,0.01176803,0.80533331,0.892141,1.066131,11.083415,-0.0007,0,0,-1,361.18,373.655,1041.798,0,0
,,177,19.99221794,87.751065,0.01207591,0.81075827,0.908949,1.066704,10.927262,0.0001,0,0,-1,361.546,374.204,1041.682,0,0
,,178,20.0021945,86.801879,0.01238155,0.81758085,0.896905,1.066748,10.75558,0.0001,0,0,-1,362.07,374.728,1041.553,0,0
,,179,20.00654013,86.542761,0.0126936,0.82539619,0.918659,1.067499,10.476092,0.0004,0,0,-1,362.432,375.296,1041.597,0,0
,,180,20.00766802,89.12119,0.01296448,0.82982112,0.90465,1.067232,10.19913,-0.0003,0,0,-1,362.836,375.758,1041.656,0,0
,,181,20.00086881,85.780131,0.01309327,0.83372855,0.885964,1.067306,10.006538,-0.0005,0,0,-1,363.275,376.315,1041.654,0,0
,,182,19.99140618,87.945162,0.01328777,0.83686119,0.934826,1.067501,9.865681,-0.0006,0,0,-1,363.559,376.676,1041.631,0,0
,,183,19.98120001,88.236472,0.01347996,0.83996432,0.90563,1.067234,9.717109,0.0013,0,0,-1,363.967,377.147,1041.583,0,0
