General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.94872171,102.689682,0.0012228,0.04711512,0.969454,0.98175,22.146,0.0006,0,0,-1,327.189,330.289,1041.519,0,0
Standard used,ASTM E 1354,1,20.94842624,106.917613,0.00120227,0.04725467,0.973256,0.981184,22.146,0.0001,0,0,-1,327.25,330.296,1041.541,0,0
Date of test,22/11/2024,2,20.94813077,111.145544,0.00118174,0.04739422,0.977059,0.980619,22.146,-0.0003,0,0,-1,327.312,330.303,1041.562,0,0
Time of test,12:06:34,3,20.94877564,107.918668,0.00108697,0.047384,0.980639,0.980204,22.146,-0.0005,0,0,-1,327.23,330.309,1041.53,0,0
Heat flux (kW/m²),50,4,20.94886384,109.685192,0.00107621,0.04743063,0.978106,0.980105,22.146,-0.0004,0,0,-1,327.271,330.245,1041.552,0,0
Nominal duct flow rate (l/s),24,5,20.94895414,105.596501,0.00107549,0.0473482,0.981029,0.979901,22.146,0.0001,0,0,-1,327.236,330.282,1041.509,0,0
Sampling interval (s),1,6,20.94885798,105.366799,0.00107705,0.04738831,0.976486,0.979462,22.146,0.0001,0,0,-1,327.181,330.199,1041.502,0,0
Separation (mm),25,7,20.95026082,107.69853,0.00107615,0.04739019,0.973509,0.978813,22.146,-0.0008,0,0,-1,327.189,330.195,1041.462,0,0
Orientation,Horizontal,8,20.95028985,105.639902,0.00107445,0.04733816,0.980566,0.97857,22.146,-0.0006,0,0,-1,327.114,330.167,1041.428,0,0
Edge frame?,No,9,20.94870955,105.081438,0.00107862,0.04737175,0.978346,0.978518,22.146,-0.0003,0,0,-1,327.18,330.163,1041.417,0,0
Grid?,No,10,20.94856986,106.320046,0.00107666,0.04736596,0.979354,0.978508,22.146,0.0012,0,0,-1,327.153,330.204,1041.381,0,0
Non-scrubbed?,Yes,11,20.94891596,104.56,0.0010084,0.0473392,0.972156,0.977879,22.146,-0.0002,0,0,-1,327.17,330.14,1041.394,0,0
Substrate used? {Y/N},No,12,20.94851899,108.028706,0.00106464,0.04742686,0.968859,0.977574,22.146,-0.0006,0,0,-1,327.172,330.198,1041.36,0,0
Substrate,none,13,20.94890191,107.501615,0.00100455,0.04734871,0.976675,0.977229,22.146,-0.0005,0,0,-1,327.13,330.139,1041.374,0,0
Additional specimen preparation details,Conditioned in dessicator. Al foil pan. 76mm insulation backing,14,20.94928303,109.193927,0.00098974,0.04739102,0.974695,0.977173,22.146,-0.0008,0,0,-1,327.195,330.164,1041.33,0,0
,,15,20.94828554,109.465849,0.00098596,0.04732137,0.978144,0.977154,22.146,-0.0006,0,0,-1,327.112,330.141,1041.315,0,0
Specimen,,16,20.947807,109.746098,0.00099176,0.04734316,0.974232,0.976732,22.146,-0.0002,0,0,-1,327.15,330.108,1041.375,0,0
Sample description,Douglass-Fir-Stem2-FCD2024Hamins_q50_H_R1,17,20.94857398,106.006397,0.00106634,0.04733775,0.9685,0.976165,22.146,0.001,0,0,-1,327.15,330.189,1041.403,0,0
Material name/ID,Douglass-Fir-Stem2,18,20.94817627,108.535151,0.00099828,0.04727805,0.97047,0.975,22.146,0.002,0,0,-1,327.164,330.153,1041.445,0,0
Specimen number,,19,20.94785276,111.201151,0.00099732,0.04732657,0.973938,0.974411,22.146,0.0009,0,0,-1,327.199,330.222,1041.441,0,0
E (MJ/kg),13.1,20,20.94895441,109.992187,0.00098658,0.04738291,0.973049,0.973986,22.146,0.0002,0,0,-1,327.113,330.144,1041.479,0,0
Initial mass (g),21.9,21,20.94874474,109.125683,0.00089261,0.04741249,0.973773,0.973545,22.146,-0.0008,0,0,-1,327.182,330.146,1041.519,0,0
Thickness (mm),16,22,20.94909546,105.502736,0.00087423,0.04732516,0.968229,0.973356,22.146,-0.0001,0,0,-1,327.129,330.184,1041.498,0,0
Surface area (cm²),100,23,20.94896766,105.783496,0.0009799,0.04737518,0.973284,0.973275,22.146,-0.0005,0,0,-1,327.19,330.145,1041.549,0,0
Sponsor,,24,20.94878272,109.778572,0.0008855,0.04732077,0.975608,0.972995,22.146,-0.0004,0,0,-1,327.183,330.196,1041.547,0,0
Manufacturer,,25,20.94895535,109.776774,0.00098527,0.04735163,0.976007,0.972935,22.146,-0.0004,0,0,-1,327.144,330.125,1041.581,0,0
Test start time (s),98,26,20.94887271,108.423837,0.00099195,0.04735166,0.976054,0.97271,22.146,-0.0005,0,0,-1,327.183,330.135,1041.593,0,0
Time to ignition (s),25,27,20.95016644,108.510695,0.00099405,0.04737375,0.968354,0.972389,22.146,0.0006,0,0,-1,327.08,330.112,1041.584,0,0
Time to flameout (s),684,28,20.95015784,109.06805,0.00099361,0.04730381,0.967219,0.972176,22.146,0.0019,0,0,-1,327.166,330.094,1041.607,0,0
End of test criterion,ASTM E 1354,29,20.94913774,104.944423,0.00098912,0.04733188,0.971226,0.972087,22.146,0.0017,0,0,-1,327.132,330.136,1041.566,0,0
User EOT time (s),,30,20.94851183,109.768648,0.00099283,0.04728845,0.970948,0.972318,22.146,0.001,0,0,-1,327.163,330.087,1041.577,0,0
MLR EOT mass (g/m²),150,31,20.94827146,108.911222,0.00098932,0.04637986,0.974326,0.972423,22.146,-0.0001,0,0,-1,327.196,330.153,1041.544,0,0
MLR EOT time period (s),60,32,20.94874983,104.420948,0.00099528,0.04628344,0.967492,0.972308,22.146,-0.0003,0,0,-1,327.128,330.105,1041.531,0,0
Truncate graphs at EOT?,No,33,20.94890167,106.727167,0.00099236,0.04617727,0.964002,0.972142,22.146,-0.0006,0,0,-1,327.202,330.125,1041.504,0,0
Smooth data?,No,34,20.94872437,108.836203,0.00107071,0.04621045,0.97049,0.971917,22.146,-0.0005,0,0,-1,327.12,330.142,1041.467,0,0
Correct O2 for pressure?,No,35,20.9489141,114.458117,0.00107566,0.04622339,0.968383,0.971962,22.146,0.0006,0,0,-1,327.185,330.106,1041.467,0,0
,,36,20.94898847,110.742798,0.00107422,0.04621426,0.972337,0.972163,22.146,-0.0005,0,0,-1,327.168,330.183,1041.461,0,0
Specifications: apparatus,,37,20.94891362,102.498171,0.00100576,0.0461583,0.966835,0.972074,22.146,-0.0006,0,0,-1,327.182,330.14,1041.473,0,0
C-factor (SI units),0.042904,38,20.9492196,105.687269,0.00106885,0.04724246,0.961474,0.972145,22.146,-0.0006,0,0,-1,327.248,330.197,1041.454,0,0
OD correction factor,1,39,20.9491386,106.44786,0.00107031,0.04732499,0.965902,0.971907,22.146,-0.0002,0,0,-1,327.187,330.188,1041.442,0,0
Duct diameter (m),0.114,40,20.94835593,104.527675,0.00107247,0.04629231,0.96519,0.971618,22.146,-0.0004,0,0,-1,327.283,330.235,1041.455,0,0
O2 delay time (s),13,41,20.94846602,105.689585,0.00107573,0.04619272,0.971163,0.971595,22.146,0.0006,0,0,-1,327.248,330.26,1041.445,0,0
CO2 delay time (s),13,42,20.94811112,108.129482,0.00107617,0.04621656,0.971169,0.971613,22.146,-0.0006,0,0,-1,327.278,330.219,1041.475,0,0
CO delay time (s),13,43,20.94867956,108.035229,0.0010804,0.04616419,0.964696,0.971524,22.146,0.0002,0,0,-1,327.299,330.285,1041.448,0,0
,,44,20.94888289,108.277232,0.00108143,0.04717411,0.967244,0.971531,22.146,-0.0001,0,0,-1,327.265,330.242,1041.449,0,0
Laboratory,,45,20.94876194,109.435802,0.00100231,0.04722786,0.965489,0.971711,22.146,0.0016,0,0,-1,327.324,330.283,1041.448,0,0
Laboratory name,Cone Lab,46,20.94887578,107.819401,0.0009943,0.04734156,0.970701,0.97182,22.146,0.0008,0,0,-1,327.256,330.276,1041.432,0,0
Operator,Ickchan Kim,47,20.94994732,105.327615,0.00099693,0.04738424,0.975793,0.972012,22.146,0.0012,0,0,-1,327.3,330.255,1041.456,0,0
Filename,C:\CC5\DATA\24110037.CSV,48,20.94992338,112.37089,0.00099348,0.04631185,0.971633,0.97196,22.146,0.0005,0,0,-1,327.281,330.29,1041.438,0,0
Report name,FCD2024Hamins,49,20.95038072,108.707802,0.00099425,0.04624507,0.971374,0.971906,22.146,-0.0003,0,0,-1,327.307,330.249,1041.449,0,0
,,50,20.94927539,108.40441,0.00106363,0.04722783,0.967608,0.971941,22.146,-0.0007,0,0,-1,327.341,330.305,1041.434,0,0
,,51,20.94989963,112.71253,0.00107384,0.04738535,0.969008,0.972308,22.146,-0.0008,0,0,-1,327.276,330.263,1041.433,0,0
Pre-test conditions,,52,20.95063256,106.366731,0.00107566,0.04732867,0.973133,0.972799,22.146,-0.0008,0,0,-1,327.353,330.294,1041.456,0,0
Ambient temperature (°C),16.7,53,20.95035425,106.139298,0.00117681,0.04729118,0.968176,0.973156,22.146,0.0018,0,0,-1,327.28,330.286,1041.451,0,0
Barometric pressure (Pa),98160,54,20.94896309,105.329302,0.00109013,0.04731271,0.967171,0.973673,22.146,0.0002,0,0,-1,327.328,330.262,1041.476,0,0
Relative humidity (%),35,55,20.94892578,104.771832,0.00107214,0.04734199,0.970767,0.9741,22.146,-0.0004,0,0,-1,327.335,330.331,1041.447,0,0
,,56,20.94894576,108.472052,0.00107763,0.04733326,0.965424,0.975254,22.146,0.0009,0,0,-1,327.316,330.277,1041.448,0,0
,,57,20.94876684,109.626945,0.00107363,0.04730231,0.973906,0.97665,22.146,0.0031,0,0,-1,327.349,330.316,1041.436,0,0
Conditioning,,58,20.94903649,106.067234,0.00107659,0.04736615,0.977615,0.977649,22.146,0.0001,0,0,-1,327.287,330.287,1041.433,0,0
Conditioned? {Y/N},Yes,59,20.94903769,106.888449,0.00107547,0.04732291,0.975771,0.978709,22.146,0.0008,0,0,-1,327.363,330.287,1041.455,0,0
Conditioning temperature (°C),23,60,20.95003247,106.710871,0.00100239,0.04734228,0.977693,0.980084,22.146,0.0007,0,0,-1,327.305,330.313,1041.441,0,0
Conditioning RH (%),20,61,20.95008901,108.660637,0.00106279,0.04738667,0.976037,0.98134,22.146,0.0005,0,0,-1,327.313,330.264,1041.452,0,0
,,62,20.95034244,107.488095,0.00107166,0.04735045,0.983184,0.982225,22.146,0.0004,0,0,-1,327.345,330.322,1041.454,0,0
Data collected,,63,20.9504001,106.647612,0.00107749,0.04731262,0.989007,0.983221,22.146,-0.0003,0,0,-1,327.3,330.272,1041.487,0,0
CO/CO2 data collected?,Yes,64,20.95051985,105.891073,0.00107413,0.04731659,0.982545,0.98404,22.146,0.0002,0,0,-1,327.385,330.32,1041.481,0,0
Mass data collected?,Yes (2 dp),65,20.95004849,106.692792,0.00107678,0.04731428,0.985189,0.985587,22.146,-0.0002,0,0,-1,327.326,330.351,1041.487,0,0
Smoke data collected?,Yes,66,20.95042831,105.28988,0.00099961,0.04739648,0.984323,0.98695,22.146,0.0006,0,0,-1,327.408,330.339,1041.531,0,0
Soot mass data collected?,No,67,20.94997663,109.828201,0.00099305,0.04737805,0.986888,0.988151,22.146,0.0009,0,0,-1,327.398,330.411,1041.572,0,0
Soot mass ratio (1:x),N/A,68,20.95119873,106.89813,0.00099004,0.04725273,0.995076,0.989369,22.146,0.0006,0,0,-1,327.416,330.391,1041.606,0,0
Soot mass (g),N/A,69,20.95038959,107.238271,0.00089381,0.04733697,0.993688,0.990276,22.146,-0.0004,0,0,-1,327.464,330.427,1041.604,0,0
,,70,20.9503715,105.460054,0.00088191,0.04844004,0.99847,0.991804,22.146,0.0017,0,0,-1,327.362,330.371,1041.586,0,0
Comments,,71,20.95048566,106.492856,0.00087773,0.0484404,0.995052,0.993461,22.146,-0.0006,0,0,-1,327.406,330.344,1041.54,0,0
Pre-test comments,,72,20.95041438,106.688947,0.00088003,0.04847949,0.996957,0.994958,22.146,0.0003,0,0,-1,327.342,330.371,1041.541,0,0
After-test comments,,73,20.95045967,104.668468,0.00087775,0.04742347,1.003664,0.996057,22.146,-0.0005,0,0,-1,327.392,330.352,1041.55,0,0
,,74,20.95050116,105.809839,0.00088109,0.04831086,1.001703,0.997285,22.146,-0.0006,0,0,-1,327.391,330.388,1041.532,0,0
,,75,20.94910266,110.325894,0.0007815,0.0483678,0.999817,0.99911,22.146,-0.0004,0,0,-1,327.28,330.234,1041.568,0,0
,,76,20.95019827,110.874603,0.00086641,0.04848452,0.996254,1.000565,22.146,-0.0005,0,0,-1,327.271,330.21,1041.57,0,0
,,77,20.95087121,113.434694,0.00087918,0.04846253,0.994797,1.001939,22.146,0.0009,0,0,-1,327.123,330.099,1041.603,0,0
,,78,20.95162252,111.648814,0.00078211,0.04840059,1.006145,1.003221,22.146,0.0003,0,0,-1,327.074,329.965,1041.73,0,0
,,79,20.95140302,112.622176,0.00076889,0.04838209,1.006876,1.004258,22.146,-0.0007,0,0,-1,326.913,329.86,1041.851,0,0
,,80,20.95195231,110.160496,0.00076652,0.04844086,1.007436,1.005363,22.146,0.0001,0,0,-1,326.799,329.651,1042.053,0,0
,,81,20.95126958,106.257562,0.00076952,0.04744959,1.010247,1.00732,22.146,-0.0008,0,0,-1,326.718,329.605,1042.235,0,0
,,82,20.9508042,112.62061,0.00077198,0.04736449,1.004391,1.008841,22.146,-0.0006,0,0,-1,326.585,329.426,1042.467,0,0
,,83,20.94993598,107.34207,0.00086712,0.04733283,1.010317,1.00965,22.146,0,0,0,-1,326.568,329.315,1042.687,0,0
,,84,20.94893529,112.505914,0.00098182,0.04737958,1.012024,1.011388,22.146,0.0006,0,0,-1,326.37,329.17,1042.89,0,0
Events,,85,20.94844087,113.53261,0.00099282,0.04728791,1.012715,1.012309,22.146,0.0004,0,0,-1,326.308,329.001,1043.109,0,0
Number of events,0,86,20.94879229,111.121901,0.00106458,0.04739806,1.014502,1.014146,22.146,-0.0006,0,0,-1,326.159,328.886,1043.237,0,0
,,87,20.94815372,115.252239,0.00107245,0.0483877,1.01575,1.015042,22.146,-0.0006,0,0,-1,325.988,328.649,1043.429,0,0
,,88,20.94687914,112.157928,0.00117472,0.04836941,1.027144,1.016041,22.146,-0.0006,0,0,-1,325.9,328.528,1043.535,0,0
,,89,20.94654944,106.269522,0.00118682,0.04917305,1.025557,1.017453,22.146,0.0018,0,0,-1,325.743,328.408,1043.545,0,0
,,90,20.946651,105.799904,0.00119218,0.04924422,1.020859,1.018383,22.146,-0.0004,0,0,-1,325.783,328.331,1043.557,0,0
,,91,20.94507081,109.12249,0.00129506,0.04926814,1.02004,1.019373,22.146,0.0005,0,0,-1,325.68,328.319,1043.524,0,0
,,92,20.94158906,104.692383,0.00130241,0.05033742,1.016367,1.020401,22.146,0.0018,0,0,-1,325.744,328.284,1043.484,0,0
,,93,20.94036767,105.284919,0.00129812,0.05039678,1.022401,1.021161,22.146,0.0026,0,0,-1,325.814,328.395,1043.29,0,0
,,94,20.94051039,106.17459,0.00136651,0.05120111,1.027401,1.022394,22.146,0.0011,0,0,-1,325.812,328.397,1043.334,0,0
,,95,20.93917403,107.889606,0.00138621,0.0511756,1.02321,1.023805,22.146,-0.0004,0,0,-1,325.933,328.489,1043.233,0,0
