Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g),Oxygen (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),APT (kPa),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Soot MFM (g/s),Spare TC (K),HFM (kW/m²)
Peaks,,0,218.177942818517,0,0,-0.17161666666666,-17.161666666666,0,0,0,24.3797386466232,-0.0116718917769761,22.8034731077326,22.9995834734654,-0.000268448649217815,-0.0268448649217815,0,0,0.000118337246513433,0.00897954071459814,0.13584966062473,0,0,5.35,20.44606934,106.668013,0.00113011,0.07121829,1.009242,1.0079,0,-1,330.348,333.189,1042.29,0,0,0
peak HRR (kW/m²),459.978606656823,1,233.517707981851,12.1540036458475,-3.6005808475944,0.192132333333332,19.2132333333332,0.00132398839471417,0.0823088918344872,0.225847825400184,24.5574911287523,-0.0298530444153783,22.9742526255144,23.1731139369912,-0.000691787999603619,-0.0691787999603619,0,0,0.000254380979582687,0.0158141994422409,0.146451753569062,0.141150707096896,225.847825400184,5.362203,20.41064309,108.25041,0.00169931,0.08935873,1.011343,1.007907,0,-1,330.413,333.273,1042.142,0,0,0
peak EHC (MJ/kg),62.487800589764,2,419.647773594833,6.73486710896157,0.0613971931119004,0.623097333333333,62.3097333333333,0.000894316073408882,0.0472921044299249,0.552430566188526,24.1348308435044,0.00167982856374733,22.5780898550045,22.7740069003441,3.82564273021768E-05,0.00382564273021768,1.91282136510884E-05,0.00191282136510884,0.000557245960498212,0.0294675841580077,0.265411411920674,0.347082289841763,276.215283094263,4.94333,19.95505301,104.552788,0.00301566,0.12733075,1.007734,1.007927,0,-1,330.402,333.269,1042.038,0,0,0
peak MLR (g/s),0.352183583333333,3,433.199425043756,6.81521849923806,0.603747337519915,0.635635416666667,63.5635416666667,0.00119872847057925,0.0703939095934431,0.978854165507821,24.0244460484126,0.0169259166868055,22.4789064422576,22.6731111553339,0.000383763190445862,0.0383763190445862,0.000230138022525108,0.0230138022525108,0.000761954270866835,0.0447448620552239,0.276306796652186,0.617941394128193,326.28472183594,4.228479,19.90943061,103.617408,0.00390771,0.1695492,1.005997,1.00794,0,-1,330.462,333.317,1041.879,0,0,0
peak SEA (m²/kg),2911.69052177782,4,450.120447748139,12.7808469516909,0.908207729392671,0.352183583333333,35.2183583333333,0.00256476953741905,0.167420322601762,1.42051410190377,23.9497989717555,0.0141506520981727,22.406959407401,22.6036122101994,0.000319855852548541,0.0319855852548541,0.00058194754402231,0.058194754402231,0.000903269726112417,0.0589626891367111,0.289157945661739,0.900673765285156,355.128525475942,3.757376,19.8576177,102.964843,0.00452806,0.20899971,1.005899,1.007523,0,-1,330.431,333.331,1041.689,0,0,0
peak COY (kg/kg),1.25053619889077,5,459.978606656823,25.887792212111,8.74098393831871,0.177681666666666,17.7681666666666,0.00596239279433362,0.424307864743187,1.87556362910625,24.5395510944036,0.0670542760887379,22.9647647164737,23.1620216496213,0.00155311259446703,0.155311259446703,0.00151843176753009,0.151843176753009,0.00105940788901852,0.0753917285873438,0.297720193424172,1.19411283482811,375.11272582125,3.502196,19.85229939,108.126657,0.00509226,0.24916553,0.999286,1.006954,0,-1,330.518,333.357,1041.567,0,0,0
peak CO2Y (kg/kg),36.6716314428042,6,429.719790103532,28.7652042140745,37.1942638557729,0.14938875,14.938875,0.0077313695004219,0.586137476469362,2.32041282748643,23.1309257804049,0.254273051500277,21.6524955163716,21.8521174453992,0.0055564045845841,0.55564045845841,0.00507319035705566,0.507319035705566,0.00115497962545615,0.0875623449379125,0.280636917984825,1.48329139053261,386.735471247738,3.359269,19.85227383,96.095961,0.00579135,0.29610526,0.97799,1.006754,0,-1,330.609,333.657,1041.614,0,0,0
,,7,397.438883763209,19.4389179912577,52.836780389312,0.20445525,20.445525,0.00615467338778723,0.49810209592475,2.7339921644198,21.9098535656051,0.520106828083052,20.5605862253803,20.7702659538376,0.0108027571436919,1.08027571436919,0.0132527712211937,1.32527712211937,0.00125835528616839,0.101839588547819,0.26255229224914,1.75488599564959,390.570309202828,3.175803,19.86578242,86.432909,0.00656698,0.35287395,0.948691,1.006642,0,-1,331.433,334.813,1041.879,0,0,0
Time To Peaks,,8,380.907916805254,12.4440671163705,32.1031924693184,0.306096,30.6096,0.0045618203293003,0.382739124820103,3.12316556470403,21.4170912150881,0.480968948671939,20.1998631436144,20.4309630158497,0.0098266588020885,0.98266588020885,0.0235674791940838,2.35674791940838,0.00139635495551751,0.117154915150934,0.254468251150029,2.01339626734918,390.395695588004,2.938897,19.87499188,83.006686,0.00736989,0.40697293,0.953328,1.007059,0,-1,333.11,336.921,1041.928,0,0,0
t peak HRR (s),5,9,384.364305788968,13.0760435099703,58.0239594203452,0.293945416666667,29.3945416666667,0.00540295579187808,0.470264514152937,3.50580167600114,21.9934881885008,0.807815305736278,20.8468728200623,21.1135847604641,0.0170558769284632,1.70558769284632,0.0370087470593597,3.70087470593597,0.00158817409147518,0.138232098556233,0.259690860791315,2.27047582331985,389.533519555682,2.592683,19.88168313,87.970932,0.00809505,0.46060701,0.918182,1.006754,0,-1,334.77,339.053,1042,0,0,0
