General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.94958176,110.884202,0.00082897,0.04841976,0.996726,0.999229,6.376,-0.0019,0,0,-1,331.711,334.931,1041.643,0,0
Standard used,ASTM E 1354,1,20.94958176,108.116699,0.00077709,0.04846326,0.998036,0.999422,6.376,-0.0028,0,0,-1,331.662,334.886,1041.634,0,0
Date of test,22/11/2024,2,20.94958176,105.349195,0.00072522,0.04850676,0.999346,0.999615,6.376,-0.0037,0,0,-1,331.613,334.841,1041.626,0,0
Time of test,13:45:17,3,20.95101341,107.427128,0.00069289,0.04849658,1.001235,0.999202,6.376,0.0001,0,0,-1,331.698,334.867,1041.65,0,0
Heat flux (kW/m²),50,4,20.94933876,107.040364,0.00068818,0.04841325,0.999239,0.999077,6.376,0.0011,0,0,-1,331.659,334.897,1041.637,0,0
Nominal duct flow rate (l/s),24,5,20.94915686,106.205955,0.00068716,0.04838746,0.998865,0.998813,6.376,0.0004,0,0,-1,331.685,334.864,1041.665,0,0
Sampling interval (s),1,6,20.94915542,105.357278,0.00068663,0.04839088,0.997604,0.998645,6.376,-0.0001,0,0,-1,331.694,334.906,1041.617,0,0
Separation (mm),25,7,20.94943161,107.69406,0.00067853,0.04804448,0.995605,0.998532,6.376,0.0007,0,0,-1,331.654,334.858,1041.609,0,0
Orientation,Horizontal,8,20.9494623,103.895567,0.00066245,0.04733781,0.999807,0.998743,6.376,-0.0012,0,0,-1,331.714,334.936,1041.6,0,0
Edge frame?,No,9,20.94934245,105.252392,0.00057709,0.04732547,0.999847,0.998951,6.376,0.001,0,0,-1,331.676,334.956,1041.568,0,0
Grid?,No,10,20.94949558,111.771088,0.00057376,0.04732544,0.999278,0.998911,6.376,-0.0003,0,0,-1,331.766,334.975,1041.571,0,0
