Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g),Oxygen (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),APT (kPa),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Soot MFM (g/s),Spare TC (K),HFM (kW/m²)
Peaks,,0,-0.0409521283310145,0,0,-0.0960889166666732,-9.60889166666732,0,0,0,23.8642998108934,-0.0116232829147037,22.2437903577908,22.4318355235433,-0.000260731570586245,-0.0260731570586245,0,0,2.43944061033381E-06,0.000902912971506388,0.000174996271156301,0,0,22.37,20.9481341,101.850145,0.00068521,0.05117652,0.973435,0.972146,0,-1,329.2,331.983,1043.117,0,0,0
peak HRR (kW/m²),254.843322723429,1,0.0660220582087796,0.00979549704199859,5.55045312496515,0.0674004166666657,6.74004166666657,4.29468596443844E-05,0.0146191255661555,3.30110291043898E-05,24.7776717009481,0.0160633211530752,23.097875628335,23.2892594094608,0.000374102853311448,0.0374102853311448,0.000187051426655724,0.0187051426655724,2.89463623455632E-06,0.000985335154461187,0.000255359027803795,0.000215177649480048,0.0330110291043898,22.360483,20.947865,109.808686,0.00068672,0.05130365,0.970595,0.972374,0,-1,329.239,331.967,1043.016,0,0,0
peak EHC (MJ/kg),76.6456062092404,2,0.37045168074068,0.157798490278757,36.1717209452983,0.0234762500000008,2.34762500000008,0.0001174629723238,0.0413027269203424,0.000251247898579119,24.4129523521004,0.0369974015542834,22.7588500543022,22.9523244381408,0.000849176363842088,0.0849176363842088,0.000798691035232492,0.0798691035232492,2.7575901040167E-06,0.000969633142863719,0.000437728857569849,0.000561721592166869,0.12562394928956,22.304337,20.94717491,106.604314,0.00068632,0.05130042,0.967915,0.972006,0,-1,329.253,332.052,1042.85,0,0,0
peak MLR (g/s),0.307676416666664,3,0.346754532431681,0,0,-0.0622198333333349,-6.22198333333349,0,0,0.000609851005165299,24.3440111560089,0.0624776418869593,22.6953381789016,22.8865430118268,0.00142989723832341,0.142989723832341,0.00193822783631524,0.193822783631524,2.83926554210394E-06,0.000933832314160786,0.000417668582955734,0.000989420312429661,0.203283668388433,22.330054,20.9472449,106.006613,0.0006867,0.05121104,0.964902,0.971799,0,-1,329.264,332.038,1042.679,0,0,0
peak SEA (m²/kg),1849.68256467922,4,1.05732364123275,0,0,-0.0696019166666678,-6.96019166666678,0,0,0.00131189009199752,24.6428836358867,0.015623235792316,22.9794121783348,23.1727551201587,0.000362033417199837,0.0362033417199837,0.00283419316407686,0.283419316407686,2.18252250743426E-05,0.000667097774297678,0.000818875455591503,0.00160769233170328,0.327972522999379,22.408283,20.9457901,108.651219,0.00076622,0.05046809,0.970473,0.972203,0,-1,329.342,332.113,1042.431,0,0,0
peak COY (kg/kg),2.20820379374804,5,0.900107302172304,0.867803323456661,-25.9239213806753,0.0103722499999996,1.03722499999996,0.00216964826619421,0.0627824432216532,0.00229060556370005,24.1841256957589,-0.0118232676124362,22.5488828378176,22.7423925732571,-0.0002688893935407,-0.02688893935407,0.00301520987267678,0.301520987267678,2.25041342290321E-05,0.000651195196705769,0.000719603001647687,0.00237693156032287,0.458121112740009,22.445413,20.94610459,104.630809,0.00077086,0.05045861,0.973314,0.972003,0,-1,329.302,332.128,1042.139,0,0,0
peak CO2Y (kg/kg),37.0115234992529,6,1.147124596523,0.153161308809224,6.17916819691695,0.0748964999999995,7.48964999999995,0.00030341692423479,0.0084750419337298,0.0033142215130477,24.6700355143529,0.0199464223598344,23.0096207612911,23.2020591217557,0.000462798070860387,0.0462798070860387,0.00324660890810697,0.324660890810697,2.27248656659508E-05,0.00063475097818959,0.000869170436297948,0.00317131827929569,0.552370252174616,22.391986,20.94560888,108.913922,0.00076989,0.05037984,0.970358,0.972567,0,-1,329.412,332.167,1041.858,0,0,0
,,7,1.02724247914007,0.420527061361171,26.2354477909114,0.0244275000000016,2.44275000000016,0.000936219348818185,0.0258321481429109,0.00440140505087923,24.4370809648174,0.0278813857485495,22.7884013120323,22.9854572757695,0.000640866400912531,0.0640866400912531,0.00379844114399343,0.379844114399343,2.28694981432577E-05,0.000631014798760998,0.000794903572577682,0.00400335528373351,0.628772150125604,22.324145,20.94585356,106.848234,0.00077141,0.05038592,0.969991,0.973079,0,-1,329.355,332.203,1041.539,0,0,0
Time To Peaks,,8,1.186611633264,1.55442820797653,295.396075923918,0.00763374999999951,0.763374999999951,0.00978237425533862,0.0867900171048695,0.00550833210708126,24.7357154950798,0.0969348021214446,23.0684989134906,23.262850340984,0.00225497979458407,0.225497979458407,0.00524636424174173,0.524636424174173,7.46761994716864E-05,0.000662533293074255,0.000918163824797194,0.00485988898242095,0.688541513385158,22.336897,20.94543807,109.483324,0.00098681,0.05044926,0.961766,0.972453,0,-1,329.378,332.153,1041.253,0,0,0
t peak HRR (s),22,9,2.62925740321691,0.675230465830946,79.4802638780903,0.0389386666666664,3.89386666666664,0.00308621066392008,0.0159556725707341,0.00741626662532172,24.5966938986113,0.133738130245536,22.9436528994839,23.1411602363938,0.00309485550172764,0.309485550172764,0.00792128188989758,0.792128188989758,0.000120172928305495,0.000621292615674287,0.00180987004969273,0.00622390591966591,0.824029625035747,22.297831,20.94213769,108.278807,0.00117984,0.05034888,0.957758,0.972472,0,-1,329.447,332.283,1040.905,0,0,0
