General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
Barometric pressure (Pa),98120,54,20.94880142,103.433892,0.00068752,0.04934746,0.976994,0.982087,22.286,0.001,0,0,-1,330.285,333.381,1041.454,0,0
Relative humidity (%),32.3,55,20.94936582,107.274404,0.0005805,0.04852697,0.981422,0.981693,22.286,0.0008,0,0,-1,330.265,333.328,1041.475,0,0
,,56,20.94871395,105.171094,0.00068283,0.04845805,0.982947,0.981685,22.286,0.0004,0,0,-1,330.363,333.411,1041.505,0,0
,,57,20.94808712,107.014907,0.00068831,0.04842775,0.978554,0.981619,22.286,0.0008,0,0,-1,330.29,333.405,1041.505,0,0
Conditioning,,58,20.94781446,110.369591,0.00068701,0.04849144,0.97761,0.980851,22.286,0.0005,0,0,-1,330.352,333.379,1041.53,0,0
Conditioned? {Y/N},No,59,20.94804323,104.016818,0.00068405,0.04849433,0.973864,0.980036,22.286,-0.0007,0,0,-1,330.323,333.435,1041.495,0,0
Conditioning temperature (°C),N/A,60,20.94877988,104.643576,0.00068288,0.04841606,0.976919,0.979639,22.286,0.0006,0,0,-1,330.315,333.361,1041.542,0,0
Conditioning RH (%),N/A,61,20.94953863,109.919752,0.0006842,0.04737675,0.980763,0.978957,22.286,-0.0007,0,0,-1,330.375,333.439,1041.528,0,0
,,62,20.95061742,109.144112,0.00068371,0.0473756,0.977671,0.978753,22.286,-0.0005,0,0,-1,330.287,333.352,1041.576,0,0
Data collected,,63,20.95167771,100.747383,0.00068543,0.04736634,0.977753,0.977953,22.286,0.0003,0,0,-1,330.317,333.36,1041.617,0,0
CO/CO2 data collected?,Yes,64,20.95156437,103.304518,0.00068696,0.04735931,0.976058,0.977122,22.286,0.0017,0,0,-1,330.247,333.354,1041.615,0,0
Mass data collected?,Yes (2 dp),65,20.95096954,105.690875,0.00068627,0.04732144,0.972547,0.976669,22.286,-0.0032,0,0,-1,330.299,333.322,1041.65,0,0
Smoke data collected?,Yes,66,20.95093153,106.070619,0.00068528,0.0483983,0.976657,0.976628,22.286,-0.0008,0,0,-1,330.315,333.412,1041.646,0,0
Soot mass data collected?,No,67,20.95108534,103.105552,0.0006835,0.04842241,0.975426,0.976867,22.286,-0.0006,0,0,-1,330.312,333.378,1041.605,0,0
Soot mass ratio (1:x),N/A,68,20.95083197,106.947612,0.00068829,0.04838737,0.971904,0.976787,22.286,-0.0003,0,0,-1,330.372,333.405,1041.613,0,0
Soot mass (g),N/A,69,20.94922123,110.409383,0.00068362,0.04840307,0.969527,0.976306,22.286,0.0006,0,0,-1,330.254,333.355,1041.602,0,0
,,70,20.949329,107.8767,0.000687,0.04852102,0.967365,0.975929,22.286,0.0011,0,0,-1,330.302,333.316,1041.679,0,0
Comments,,71,20.95056903,111.999867,0.00068462,0.04849229,0.971468,0.975591,22.286,-0.0015,0,0,-1,330.224,333.324,1041.638,0,0
Pre-test comments,,72,20.95078871,110.90932,0.000585,0.04842905,0.97187,0.975502,22.286,-0.0019,0,0,-1,330.248,333.271,1041.646,0,0
After-test comments,,73,20.9510665,106.02163,0.00057645,0.04847679,0.977701,0.975362,22.286,0.0006,0,0,-1,330.261,333.325,1041.579,0,0
,,74,20.95052977,104.642488,0.00057222,0.04843807,0.974947,0.975179,22.286,-0.0018,0,0,-1,330.198,333.238,1041.656,0,0
,,75,20.94959795,105.603001,0.00048815,0.04736727,0.966301,0.974884,22.286,-0.0026,0,0,-1,330.25,333.266,1041.762,0,0
,,76,20.94864921,109.27384,0.00056419,0.04839064,0.970443,0.974777,22.286,0.0005,0,0,-1,330.173,333.24,1041.834,0,0
,,77,20.94831838,108.08787,0.00049235,0.04842931,0.967579,0.974301,22.286,0.0006,0,0,-1,330.205,333.188,1041.985,0,0
,,78,20.949631,108.409134,0.00048769,0.04848979,0.970581,0.974384,22.286,0.0007,0,0,-1,330.118,333.162,1042.11,0,0
,,79,20.95093561,105.723321,0.0004852,0.04846737,0.973432,0.974469,22.286,-0.0006,0,0,-1,329.982,332.953,1042.312,0,0
,,80,20.95060232,106.968133,0.0004859,0.04841597,0.967985,0.974649,22.286,0.0026,0,0,-1,329.909,332.89,1042.507,0,0
,,81,20.95152809,105.901889,0.00049081,0.04840144,0.96842,0.973813,22.286,0.0009,0,0,-1,329.755,332.734,1042.706,0,0
,,82,20.95129528,107.911035,0.00049106,0.04841042,0.969482,0.973381,22.286,-0.0009,0,0,-1,329.755,332.616,1042.917,0,0
,,83,20.95156792,106.81752,0.00057444,0.04845343,0.970619,0.973328,22.286,-0.0015,0,0,-1,329.581,332.522,1043.076,0,0
,,84,20.95155568,109.741401,0.00057732,0.04849206,0.976056,0.973759,22.286,-0.0008,0,0,-1,329.483,332.342,1043.306,0,0
Events,,85,20.95130515,110.982314,0.00057031,0.04846088,0.960713,0.973881,22.286,-0.001,0,0,-1,329.411,332.284,1043.447,0,0
Number of events,0,86,20.95080671,109.523496,0.00057548,0.0483772,0.964618,0.973604,22.286,-0.0009,0,0,-1,329.283,332.12,1043.563,0,0
,,87,20.94943128,110.978387,0.00056871,0.0484275,0.969533,0.973125,22.286,0,0,0,-1,329.289,332.073,1043.627,0,0
,,88,20.94914129,105.791682,0.00057804,0.04848175,0.970838,0.973382,22.286,-0.0019,0,0,-1,329.174,332.005,1043.644,0,0
,,89,20.9494302,110.836921,0.00068179,0.04843044,0.973083,0.973537,22.286,0.0017,0,0,-1,329.213,331.954,1043.697,0,0
,,90,20.94785792,108.502117,0.00067951,0.04843242,0.971488,0.973352,22.286,-0.0022,0,0,-1,329.161,331.953,1043.658,0,0
,,91,20.94598122,108.453039,0.00076661,0.0484227,0.968803,0.973082,22.286,-0.0016,0,0,-1,329.117,331.848,1043.617,0,0
,,92,20.94574713,110.240773,0.00087651,0.04917703,0.970145,0.973033,22.286,-0.001,0,0,-1,329.145,331.926,1043.486,0,0
,,93,20.94590528,106.372726,0.0008786,0.04934436,0.971097,0.972755,22.286,0.001,0,0,-1,329.12,331.88,1043.394,0,0
,,94,20.94500747,108.481452,0.00088318,0.04924621,0.970763,0.972547,22.286,-0.0007,0,0,-1,329.223,331.946,1043.294,0,0
,,95,20.94166315,101.850145,0.00087865,0.04921182,0.973435,0.972146,22.285946,-0.0002,0,0,-1,329.2,331.983,1043.117,0,0
,,96,20.94105926,109.808686,0.00098649,0.04930949,0.970595,0.972374,22.276429,0.0006,0,0,-1,329.239,331.967,1043.016,0,0
,,97,20.94091308,106.604314,0.00089103,0.05039041,0.967915,0.972006,22.220283,-0.0017,0,0,-1,329.253,332.052,1042.85,0,0
,,98,20.94168168,106.006613,0.00087882,0.05037016,0.964902,0.971799,22.246,0.0002,0,0,-1,329.264,332.038,1042.679,0,0
,,99,20.94194447,108.651219,0.00088334,0.05130871,0.970473,0.972203,22.324229,0.0019,0,0,-1,329.342,332.113,1042.431,0,0
,,100,20.942123,104.630809,0.00077332,0.0512898,0.973314,0.972003,22.361359,0.0003,0,0,-1,329.302,332.128,1042.139,0,0
,,101,20.94323282,108.913922,0.00077041,0.05120953,0.970358,0.972567,22.307932,0.0006,0,0,-1,329.412,332.167,1041.858,0,0
,,102,20.94386926,106.848234,0.0007717,0.05127265,0.969991,0.973079,22.240091,0,0,0,-1,329.355,332.203,1041.539,0,0
,,103,20.94379602,109.483324,0.00087588,0.05124242,0.961766,0.972453,22.252843,0.0001,0,0,-1,329.378,332.153,1041.253,0,0
,,104,20.9452749,108.278807,0.00087961,0.05231627,0.957758,0.972472,22.213777,0.0006,0,0,-1,329.447,332.283,1040.905,0,0
,,105,20.9459503,110.493211,0.00077491,0.05223792,0.958717,0.97284,22.189025,-0.0004,0,0,-1,329.43,332.275,1040.638,0,0
,,106,20.94719073,104.282713,0.00069197,0.05239663,0.950252,0.972925,22.196811,0.0005,0,0,-1,329.569,332.378,1040.391,0,0
,,107,20.94808865,109.422639,0.00069022,0.05128954,0.937986,0.973179,22.14916,-0.0024,0,0,-1,329.531,332.42,1040.143,0,0
,,108,20.9481341,108.454096,0.00068521,0.05117652,0.924799,0.973202,22.065168,0,0,0,-1,329.661,332.476,1039.986,0,0
,,109,20.947865,103.536458,0.00068672,0.05130365,0.923046,0.972843,22.077783,0.0005,0,0,-1,329.697,332.608,1039.821,0,0
,,110,20.94717491,107.012979,0.00068632,0.05130042,0.908899,0.972828,22.023389,0.0011,0,0,-1,329.742,332.607,1039.753,0,0
,,111,20.9472449,107.071966,0.0006867,0.05121104,0.888262,0.972944,21.95531,0.0003,0,0,-1,329.838,332.732,1039.689,0,0
,,112,20.9457901,108.121515,0.00076622,0.05046809,0.891955,0.973597,21.869521,0.0005,0,0,-1,329.829,332.769,1039.686,0,0
,,113,20.94610459,107.058761,0.00077086,0.05045861,0.88867,0.973317,21.825927,-0.0004,0,0,-1,329.938,332.84,1039.783,0,0
,,114,20.94560888,103.647284,0.00076989,0.05037984,0.949424,0.973341,21.752355,0.0001,0,0,-1,329.953,332.982,1040.012,0,0
,,115,20.94585356,97.891698,0.00077141,0.05038592,0.918228,0.973315,21.645097,0.0003,0,0,-1,330.383,333.487,1040.3,0,0
,,116,20.94543807,91.097871,0.00098681,0.05044926,0.909903,0.973363,21.563,0.0009,0,0,-1,331.102,334.433,1040.551,0,0
,,117,20.94213769,97.328505,0.00117984,0.05034888,0.899743,0.974468,21.455824,-0.0012,0,0,-1,331.969,335.416,1040.889,0,0
,,118,20.9354427,93.801137,0.00129717,0.050532,0.906933,0.974803,21.259833,0.0006,0,0,-1,332.893,336.549,1041.157,0,0
,,119,20.9285333,91.689776,0.00157294,0.05125617,0.911934,0.975137,21.062843,0.0003,0,0,-1,333.651,337.61,1041.445,0,0
,,120,20.90850577,94.588979,0.00198625,0.05423812,0.905967,0.975401,20.906586,-0.0001,0,0,-1,334.531,338.638,1041.733,0,0
,,121,20.8574749,92.66345,0.00228296,0.05827212,0.912344,0.975165,20.836918,0.0006,0,0,-1,335.28,339.708,1041.976,0,0
,,122,20.73314971,92.948899,0.00278472,0.07217511,0.904625,0.975935,20.65615,0.0001,0,0,-1,336.025,340.606,1042.214,0,0
,,123,20.60002604,92.972577,0.00318298,0.08726012,0.918196,0.975993,20.425243,-0.0021,0,0,-1,336.788,341.657,1042.314,0,0
,,124,20.48048788,89.15613,0.00399105,0.10954988,0.903971,0.97604,20.231411,-0.0003,0,0,-1,337.51,342.588,1042.436,0,0
,,125,20.40145011,95.901446,0.00476757,0.13389646,0.89912,0.976473,20.125665,-0.0026,0,0,-1,338.288,343.564,1042.508,0,0
,,126,20.36931597,93.827674,0.00525892,0.14835799,0.893279,0.976225,20.058739,-0.0035,0,0,-1,338.782,344.269,1042.521,0,0
,,127,20.33228207,92.510599,0.0059719,0.18469827,0.905933,0.976311,19.944024,0.0009,0,0,-1,339.6,345.239,1042.633,0,0
,,128,20.31297581,94.330178,0.0062892,0.21670273,0.920032,0.976575,19.682231,-0.0002,0,0,-1,340.202,346.103,1042.602,0,0
,,129,20.29904784,91.988845,0.0066833,0.24614183,0.923972,0.976752,19.390156,0.0009,0,0,-1,340.787,346.819,1042.601,0,0
,,130,20.2862604,93.077735,0.00706881,0.28070583,0.901822,0.977035,19.319912,-0.0006,0,0,-1,341.455,347.678,1042.603,0,0
,,131,20.27727953,95.522571,0.0073821,0.3178821,0.9091,0.977255,19.275022,0.0004,0,0,-1,341.984,348.394,1042.538,0,0
,,132,20.274352,90.903595,0.00779293,0.35688752,0.919235,0.977048,19.134778,0.0028,0,0,-1,342.614,349.137,1042.467,0,0
,,133,20.28008287,92.643248,0.00808228,0.39762718,0.910032,0.978016,18.949586,-0.0006,0,0,-1,343.117,349.89,1042.38,0,0
,,134,20.28443279,91.018706,0.00827453,0.43406632,0.921977,0.978678,18.742376,-0.0006,0,0,-1,343.771,350.649,1042.42,0,0
,,135,20.28685245,98.274431,0.00850107,0.47693457,0.912207,0.97911,18.540636,-0.0005,0,0,-1,344.341,351.429,1042.415,0,0
,,136,20.28485508,94.354167,0.00867256,0.51603947,0.893061,0.978786,18.435737,0.0028,0,0,-1,344.809,352.023,1042.454,0,0
,,137,20.28001589,98.238816,0.00867361,0.54040872,0.8968,0.97934,18.347191,0.0014,0,0,-1,345.394,352.733,1042.65,0,0
,,138,20.28015223,95.62327,0.0087885,0.56404645,0.887357,0.979915,18.145053,0.0026,0,0,-1,345.833,353.361,1042.706,0,0
,,139,20.27955131,100.371297,0.00898291,0.57696575,0.893158,0.98036,17.863408,0.0026,0,0,-1,346.318,353.89,1042.778,0,0
,,140,20.26512997,94.963923,0.00898141,0.58979288,0.874729,0.98127,17.667448,-0.0006,0,0,-1,346.733,354.514,1042.676,0,0
,,141,20.25133224,88.617192,0.00899243,0.59409467,0.882747,0.981869,17.606123,0.0007,0,0,-1,347.226,355.067,1042.582,0,0
,,142,20.24488035,93.97441,0.00894182,0.59853305,0.894197,0.982132,17.512535,0.0013,0,0,-1,347.795,355.821,1042.328,0,0
,,143,20.23773027,92.362571,0.00889418,0.60363958,0.888644,0.982716,17.279994,-0.0013,0,0,-1,348.236,356.426,1042.058,0,0
,,144,20.23117107,93.573726,0.00883211,0.6078976,0.908758,0.983028,17.029732,0.0008,0,0,-1,348.79,357.058,1041.86,0,0
,,145,20.22729151,94.038792,0.0087855,0.61217232,0.866453,0.983838,16.849211,0.0002,0,0,-1,349.17,357.668,1041.646,0,0
,,146,20.22487488,92.080102,0.00871355,0.61526502,0.885011,0.983861,16.711762,0.0009,0,0,-1,349.65,358.189,1041.51,0,0
,,147,20.21949484,85.962963,0.00867514,0.61922307,0.884411,0.984488,16.588,0.0004,0,0,-1,350.056,358.788,1041.309,0,0
,,148,20.21290112,99.578652,0.00867622,0.62421319,0.884657,0.985166,16.450172,0.0018,0,0,-1,350.395,359.147,1041.213,0,0
,,149,20.20854973,91.702026,0.00867594,0.62905869,0.878373,0.985805,16.243405,0.0001,0,0,-1,350.763,359.632,1041.145,0,0
,,150,20.21084972,89.780072,0.00867675,0.63208345,0.862723,0.986618,16.066177,-0.0006,0,0,-1,351.066,360.074,1041.095,0,0
,,151,20.21644637,92.718603,0.00875291,0.63585191,0.867461,0.987253,15.910151,0.0015,0,0,-1,351.547,360.579,1041.105,0,0
,,152,20.21895073,92.139382,0.0087854,0.63951069,0.850599,0.987919,15.698448,0.0027,0,0,-1,351.888,361.079,1041.072,0,0
,,153,20.21898484,96.079869,0.00887475,0.64301649,0.857663,0.988118,15.543878,0.0001,0,0,-1,352.217,361.455,1041.129,0,0
,,154,20.22718001,92.427276,0.0090818,0.64566853,0.893891,0.98844,15.441488,0.0005,0,0,-1,352.608,361.978,1041.16,0,0
,,155,20.23886408,91.273049,0.00916985,0.64675876,0.861485,0.989246,15.304,0.0017,0,0,-1,352.886,362.319,1041.227,0,0
,,156,20.24417325,94.723814,0.00939165,0.64799504,0.841824,0.989206,15.117172,0.0023,0,0,-1,353.286,362.748,1041.309,0,0
,,157,20.23779671,96.453157,0.00948695,0.64899598,0.860473,0.98916,14.982998,0.0004,0,0,-1,353.502,363.077,1041.363,0,0
,,158,20.23665426,94.360131,0.00968013,0.64903296,0.874252,0.989601,14.891793,-0.0014,0,0,-1,353.812,363.36,1041.421,0,0
,,159,20.24680596,91.484967,0.01009296,0.64898006,0.865413,0.990049,14.684859,-0.0001,0,0,-1,354.091,363.801,1041.45,0,0
,,160,20.2525569,91.1834,0.01029751,0.64707595,0.858209,0.990612,14.494994,0.0009,0,0,-1,354.423,364.145,1041.557,0,0
,,161,20.25605103,93.774772,0.01029756,0.64522771,0.873494,0.991373,14.327837,-0.0002,0,0,-1,354.801,364.643,1041.59,0,0
,,162,20.2586556,89.37907,0.01037761,0.64424538,0.862585,0.991151,14.165311,0.0002,0,0,-1,355.067,365.036,1041.605,0,0
,,163,20.26223996,94.782406,0.01057208,0.64213997,0.859556,0.99195,14.050488,0.0002,0,0,-1,355.479,365.462,1041.664,0,0
,,164,20.26372925,94.560797,0.01068849,0.63905852,0.8706,0.992161,13.921878,0.0006,0,0,-1,355.721,365.869,1041.668,0,0
,,165,20.25975092,91.760322,0.01088362,0.63736426,0.849898,0.993075,13.729,0.0009,0,0,-1,356.016,366.127,1041.727,0,0
,,166,20.24982104,91.171292,0.01089152,0.63510804,0.844736,0.993716,13.530054,0.0009,0,0,-1,356.31,366.582,1041.738,0,0
,,167,20.23788881,89.769581,0.01100113,0.63499749,0.852482,0.994109,13.342492,0.0005,0,0,-1,356.582,366.9,1041.767,0,0
,,168,20.22913771,91.215341,0.01119267,0.63419977,0.858507,0.994486,13.212954,-0.0014,0,0,-1,356.928,367.293,1041.78,0,0
,,169,20.22368957,90.750336,0.01138182,0.63411245,0.86332,0.994893,13.117809,0.0016,0,0,-1,357.143,367.603,1041.767,0,0
,,170,20.22585542,93.69509,0.01139515,0.63504669,0.837341,0.995846,12.927,-0.0006,0,0,-1,357.444,367.876,1041.817,0,0
,,171,20.23669086,94.742387,0.01139667,0.63505822,0.858856,0.996535,12.750256,-0.0025,0,0,-1,357.663,368.235,1041.834,0,0
,,172,20.2423868,91.607513,0.01138983,0.63502623,0.864344,0.996355,12.601118,0,0,0,-1,357.96,368.526,1041.877,0,0
,,173,20.23977616,95.032427,0.01120286,0.6350209,0.854079,0.996985,12.43,-0.0017,0,0,-1,358.235,368.864,1041.934,0,0
,,174,20.23523589,95.201518,0.01111575,0.63497613,0.853468,0.997494,12.276488,-0.0014,0,0,-1,358.351,369.015,1042.035,0,0
,,175,20.2380063,88.843297,0.01111555,0.63611597,0.841941,0.997945,12.190503,-0.003,0,0,-1,358.578,369.255,1042.082,0,0
,,176,20.24725833,90.506776,0.01100743,0.63608793,0.834265,0.998564,12.024166,0.0001,0,0,-1,358.709,369.544,1042.033,0,0
,,177,20.2535487,95.152296,0.01100293,0.63616895,0.831031,0.998831,11.80504,0.0007,0,0,-1,359.041,369.813,1042.066,0,0
,,178,20.25294088,87.588517,0.01110495,0.63621903,0.850637,0.998992,11.612938,0.0028,0,0,-1,359.293,370.181,1041.951,0,0
,,179,20.24741633,88.638921,0.01111534,0.63733584,0.851982,0.999588,11.407726,-0.0013,0,0,-1,359.532,370.452,1041.912,0,0
,,180,20.24911348,91.669683,0.01110829,0.63723883,0.868248,0.999987,11.291919,-0.0005,0,0,-1,359.836,370.782,1041.777,0,0
,,181,20.25091663,90.077809,0.01100906,0.63731853,0.843262,1.000144,11.209851,0.0008,0,0,-1,359.97,371.002,1041.714,0,0
,,182,20.24640801,90.099006,0.01100213,0.63728612,0.854512,1.000102,11.018111,-0.0026,0,0,-1,360.244,371.291,1041.682,0,0
,,183,20.23473149,89.248561,0.01100445,0.63726067,0.864097,1.000804,10.80821,0.0008,0,0,-1,360.458,371.622,1041.647,0,0
