General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.9538841,108.071775,0.00076639,0.04749224,0.998132,0.997242,22.286,0.0005,0,0,-1,330.357,333.293,1041.499,0,0
Standard used,ASTM E 1354,1,20.95289253,106.674527,0.00076616,0.04738758,0.994494,0.997199,22.286,0.0002,0,0,-1,330.281,333.3,1041.504,0,0
Date of test,22/11/2024,2,20.95190053,105.302492,0.00076605,0.04728743,0.990977,0.997158,22.286,-0.0001,0,0,-1,330.207,333.305,1041.51,0,0
Time of test,12:50:53,3,20.9508865,105.081159,0.00077135,0.04738589,0.992782,0.997187,22.286,-0.0009,0,0,-1,330.202,333.22,1041.547,0,0
Heat flux (kW/m²),50,4,20.94958311,107.541667,0.00076943,0.04730886,0.992002,0.996821,22.286,0,0,0,-1,330.191,333.278,1041.575,0,0
Nominal duct flow rate (l/s),24,5,20.94949599,107.577741,0.00076866,0.04736626,0.990819,0.99663,22.286,0.0009,0,0,-1,330.119,333.214,1041.555,0,0
Sampling interval (s),1,6,20.9493397,109.008177,0.00085636,0.04733424,0.995165,0.996559,22.286,0.0004,0,0,-1,330.187,333.253,1041.56,0,0
Separation (mm),25,7,20.95099741,108.949989,0.00088252,0.04735063,0.99719,0.996595,22.286,-0.0005,0,0,-1,330.154,333.267,1041.537,0,0
Orientation,Horizontal,8,20.95085758,107.061076,0.00088215,0.0473828,0.991833,0.996244,22.286,-0.0018,0,0,-1,330.234,333.24,1041.567,0,0
Edge frame?,No,9,20.95095007,104.348428,0.00088063,0.04729515,0.992013,0.995893,22.286,-0.0011,0,0,-1,330.232,333.356,1041.527,0,0
Grid?,No,10,20.95076346,105.843857,0.00088363,0.04734511,0.985196,0.995517,22.286,0.0001,0,0,-1,330.246,333.303,1041.533,0,0
Non-scrubbed?,Yes,11,20.94956339,106.608349,0.00077182,0.04739734,0.992522,0.994897,22.286,0.0018,0,0,-1,330.299,333.361,1041.503,0,0
Substrate used? {Y/N},No,12,20.94981556,103.07018,0.00076937,0.04732418,0.993199,0.994458,22.286,0.0001,0,0,-1,330.225,333.32,1041.499,0,0
Substrate,none,13,20.94969638,109.007439,0.00076888,0.04732159,0.993927,0.994153,22.286,0.0007,0,0,-1,330.287,333.321,1041.517,0,0
Additional specimen preparation details,Conditioned in dessicator. 76mm insulation backing. Al foil pan.,14,20.94931358,110.629945,0.0006874,0.04728553,0.991435,0.994101,22.286,0.0005,0,0,-1,330.19,333.296,1041.485,0,0
,,15,20.9496214,108.086122,0.000682,0.04734232,0.986954,0.993443,22.286,0.0002,0,0,-1,330.221,333.271,1041.511,0,0
Specimen,,16,20.9494595,107.629022,0.00068612,0.04732988,0.990439,0.992804,22.286,-0.0008,0,0,-1,330.221,333.326,1041.388,0,0
Sample description,Douglas-Fir-Stem2-FCD2024Hamins_q50_H_R2,17,20.95054329,98.211636,0.00068788,0.0472971,0.992794,0.992279,22.286,0,0,0,-1,330.214,333.295,1041.38,0,0
Material name/ID,Douglas-Fir-Leaf6,18,20.95065528,106.538232,0.00076709,0.04732277,0.989622,0.99232,22.286,-0.0009,0,0,-1,330.289,333.353,1041.39,0,0
Specimen number,,19,20.94892682,108.924843,0.00077003,0.04731096,0.991258,0.992132,22.286,-0.0002,0,0,-1,330.221,333.33,1041.461,0,0
E (MJ/kg),13.1,20,20.94786245,107.292805,0.00076684,0.04730563,0.985306,0.991778,22.286,0.001,0,0,-1,330.258,333.291,1041.485,0,0
Initial mass (g),22.37,21,20.94823058,111.888559,0.00068795,0.04730773,0.984847,0.991401,22.286,0.0007,0,0,-1,330.224,333.347,1041.478,0,0
Thickness (mm),16,22,20.94805202,107.564185,0.00067867,0.04833085,0.989904,0.991095,22.286,0.0004,0,0,-1,330.269,333.297,1041.484,0,0
Surface area (cm²),100,23,20.94744402,108.867846,0.00057106,0.04843382,0.992304,0.991057,22.286,0.0004,0,0,-1,330.321,333.411,1041.474,0,0
Sponsor,,24,20.94609662,108.34561,0.00068528,0.04841614,0.991426,0.990897,22.286,-0.0008,0,0,-1,330.27,333.354,1041.504,0,0
Manufacturer,,25,20.94584408,107.873302,0.00068276,0.04843139,0.986849,0.990189,22.286,0.001,0,0,-1,330.354,333.398,1041.526,0,0
Test start time (s),95,26,20.94758363,107.033988,0.00057061,0.04919674,0.981965,0.98953,22.286,-0.0008,0,0,-1,330.282,333.414,1041.51,0,0
Time to ignition (s),18,27,20.94756674,110.392345,0.00057556,0.04920394,0.987251,0.989065,22.286,0.0007,0,0,-1,330.322,333.359,1041.557,0,0
Time to flameout (s),205,28,20.94723344,106.857559,0.00068479,0.0492896,0.986362,0.988942,22.286,0.0005,0,0,-1,330.251,333.37,1041.521,0,0
End of test criterion,ASTM E 1354,29,20.94771029,108.267902,0.00068776,0.0492576,0.991663,0.988959,22.286,0.0005,0,0,-1,330.207,333.258,1041.574,0,0
User EOT time (s),,30,20.94884923,105.894363,0.00068467,0.04930265,0.984086,0.988846,22.286,0.0004,0,0,-1,330.237,333.282,1041.59,0,0
MLR EOT mass (g/m²),150,31,20.94888687,107.595017,0.0007663,0.04929494,0.980263,0.988747,22.286,-0.0005,0,0,-1,330.137,333.213,1041.592,0,0
MLR EOT time period (s),60,32,20.94859476,105.907743,0.00077037,0.04928259,0.982103,0.988046,22.286,0.0005,0,0,-1,330.175,333.195,1041.608,0,0
Truncate graphs at EOT?,No,33,20.94817712,106.860132,0.00076708,0.04922525,0.985482,0.987852,22.286,0.0005,0,0,-1,330.128,333.206,1041.591,0,0
Smooth data?,No,34,20.94815937,104.273966,0.00069116,0.04928976,0.986059,0.987783,22.286,0.0006,0,0,-1,330.146,333.125,1041.615,0,0
Correct O2 for pressure?,No,35,20.94747846,109.778512,0.00076669,0.04932319,0.983722,0.987645,22.286,0.0009,0,0,-1,330.15,333.222,1041.615,0,0
,,36,20.94730058,103.35408,0.00077269,0.04928035,0.9785,0.987725,22.286,0.0001,0,0,-1,330.133,333.162,1041.647,0,0
Specifications: apparatus,,37,20.94744844,106.261209,0.00077261,0.0492563,0.980861,0.987338,22.286,-0.0002,0,0,-1,330.215,333.202,1041.639,0,0
C-factor (SI units),0.042904,38,20.94640267,106.025366,0.00076964,0.04930617,0.982721,0.987254,22.286,0.0004,0,0,-1,330.115,333.172,1041.592,0,0
OD correction factor,1,39,20.94605241,104.795627,0.00087339,0.0492625,0.983205,0.987253,22.286,0.0006,0,0,-1,330.183,333.173,1041.617,0,0
Duct diameter (m),0.114,40,20.94548867,108.422765,0.00077444,0.04928275,0.986641,0.986949,22.286,0.0016,0,0,-1,330.154,333.239,1041.574,0,0
O2 delay time (s),13,41,20.94611201,104.469376,0.00076782,0.04924559,0.980133,0.986748,22.286,0.0014,0,0,-1,330.206,333.225,1041.597,0,0
CO2 delay time (s),13,42,20.94704052,108.479825,0.00076699,0.04924481,0.979021,0.986106,22.286,-0.0007,0,0,-1,330.279,333.349,1041.578,0,0
CO delay time (s),13,43,20.94602153,109.954299,0.00077009,0.04924541,0.981277,0.985608,22.286,0.001,0,0,-1,330.221,333.309,1041.557,0,0
,,44,20.94721186,103.895426,0.00076788,0.04929304,0.980323,0.985246,22.286,-0.0001,0,0,-1,330.292,333.318,1041.531,0,0
Laboratory,,45,20.94745436,107.013813,0.00076594,0.04925518,0.984899,0.985102,22.286,0.002,0,0,-1,330.203,333.295,1041.482,0,0
Laboratory name,Cone Lab,46,20.94730848,108.399271,0.00076688,0.04937119,0.978758,0.984876,22.286,-0.0023,0,0,-1,330.201,333.212,1041.495,0,0
Operator,Ickchan Kim,47,20.94828928,107.089218,0.00076903,0.05048895,0.97648,0.984372,22.286,-0.0015,0,0,-1,330.18,333.273,1041.458,0,0
Filename,C:\CC5\DATA\24110039.CSV,48,20.94863093,105.529566,0.00068846,0.04932426,0.977294,0.983794,22.286,-0.0004,0,0,-1,330.169,333.199,1041.466,0,0
Report name,FCD2024Hamins,49,20.94877655,99.771919,0.00068457,0.04928158,0.977805,0.983523,22.286,0.0009,0,0,-1,330.236,333.281,1041.446,0,0
,,50,20.94875538,106.428192,0.00068666,0.04923057,0.981886,0.983723,22.286,0.002,0,0,-1,330.173,333.256,1041.435,0,0
,,51,20.94902371,101.026185,0.00067872,0.0493387,0.980132,0.983456,22.286,-0.0006,0,0,-1,330.266,333.267,1041.469,0,0
Pre-test conditions,,52,20.94911382,106.866966,0.00058597,0.04930133,0.977122,0.98312,22.286,0,0,0,-1,330.246,333.332,1041.462,0,0
Ambient temperature (°C),18.1,53,20.94847324,105.456864,0.00068415,0.04928855,0.9794,0.982727,22.286,0.0002,0,0,-1,330.268,333.276,1041.474,0,0
