General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.94886343,109.363698,0.00082457,0.04732848,0.990037,0.999328,21.292,0.002,0,0,-1,331.056,334.067,1041.574,0,0
Standard used,ASTM E 1354,1,20.94932153,108.164983,0.00076396,0.04730119,0.995939,0.999462,21.292,0.0009,0,0,-1,331.013,334.1,1041.528,0,0
Date of test,22/11/2024,2,20.94977962,106.966268,0.00070335,0.04727391,1.001842,0.999597,21.292,-0.0001,0,0,-1,330.97,334.134,1041.483,0,0
Time of test,13:21:32,3,20.94981764,109.493885,0.00068732,0.04733826,0.999191,0.999681,21.292,-0.0006,0,0,-1,330.939,334.059,1041.532,0,0
Heat flux (kW/m²),50,4,20.95071091,101.49914,0.00075181,0.04735937,0.998588,0.999813,21.292,-0.0007,0,0,-1,330.944,334.088,1041.551,0,0
Nominal duct flow rate (l/s),24,5,20.95078439,104.496518,0.00069705,0.04737453,0.998994,0.999931,21.292,-0.0004,0,0,-1,330.868,334.024,1041.566,0,0
Sampling interval (s),1,6,20.95066894,106.611148,0.00069267,0.04735718,0.9931,1.000018,21.292,-0.0006,0,0,-1,330.899,334.001,1041.597,0,0
Separation (mm),25,7,20.95038493,105.574157,0.00068739,0.04728565,0.998884,0.99991,21.292,0.0006,0,0,-1,330.838,333.99,1041.578,0,0
Orientation,Horizontal,8,20.95183876,106.739123,0.00075611,0.04732041,1.002088,0.999921,21.292,-0.0006,0,0,-1,330.862,333.945,1041.615,0,0
Edge frame?,No,9,20.95195028,107.818022,0.00077203,0.04730957,1.000867,1.000111,21.292,-0.0023,0,0,-1,330.866,334.014,1041.613,0,0
Grid?,No,10,20.95055237,106.959337,0.00076788,0.04729955,1.000927,1.000251,21.292,0.0021,0,0,-1,330.861,333.971,1041.632,0,0
Non-scrubbed?,Yes,11,20.95004675,104.245085,0.00077004,0.04730637,0.995031,1.000659,21.292,0.0001,0,0,-1,330.94,334.016,1041.635,0,0
Substrate used? {Y/N},No,12,20.95000985,108.780584,0.00077056,0.04728135,0.996129,1.000534,21.292,-0.0006,0,0,-1,330.873,334.016,1041.638,0,0
Substrate,none,13,20.95042147,102.527893,0.0007718,0.04735416,0.999521,1.000559,21.292,-0.0026,0,0,-1,330.927,334.005,1041.641,0,0
Additional specimen preparation details,Conditioned in dessicator. 76 mm insulation. Al foil pan,14,20.9506481,106.452623,0.0006986,0.04741396,1.000748,1.000666,21.292,-0.0011,0,0,-1,330.89,334.046,1041.61,0,0
,,15,20.95060626,103.183253,0.0006893,0.04733882,1.001141,1.000798,21.292,-0.0001,0,0,-1,330.893,334.009,1041.62,0,0
Specimen,,16,20.95059935,108.266939,0.00068542,0.04732344,0.998528,1.000836,21.292,0.0006,0,0,-1,330.943,334.086,1041.607,0,0
Sample description,Douglas-Fir-Stem2-FCD2024Hamins_q50_H_R3,17,20.95060121,107.591206,0.0005978,0.04731102,0.997126,1.000902,21.292,0.0029,0,0,-1,330.915,334.06,1041.595,0,0
Material name/ID,Douglas-Fir-Stem2,18,20.9505562,108.62313,0.00057187,0.04632243,0.997322,1.000856,21.292,0,0,0,-1,330.988,334.104,1041.585,0,0
Specimen number,,19,20.95059762,108.63769,0.00051052,0.04618168,0.998976,1.000918,21.292,0.0009,0,0,-1,330.967,334.148,1041.561,0,0
E (MJ/kg),13.1,20,20.95168139,106.758713,0.00049569,0.04716605,1.0043,1.001092,21.292,0.0007,0,0,-1,331.024,334.132,1041.592,0,0
Initial mass (g),21.52,21,20.95196445,106.79888,0.00056007,0.04736935,0.998467,1.001214,21.292,-0.0005,0,0,-1,331.02,334.185,1041.56,0,0
Thickness (mm),16,22,20.95198238,105.064626,0.00050118,0.0473014,0.996558,1.001331,21.292,0.0009,0,0,-1,330.991,334.124,1041.581,0,0
Surface area (cm²),100,23,20.95179326,102.506791,0.00048659,0.04736872,0.998036,1.001304,21.292,0.0019,0,0,-1,331.041,334.169,1041.574,0,0
Sponsor,,24,20.95197839,105.95289,0.00048732,0.04729892,0.998694,1.001203,21.292,0.0002,0,0,-1,330.98,334.147,1041.569,0,0
Manufacturer,,25,20.95203496,104.515588,0.00048773,0.04726886,1.002375,1.001021,21.292,0.0015,0,0,-1,331.061,334.174,1041.559,0,0
