Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g),Oxygen (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),APT (kPa),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Soot MFM (g/s),Spare TC (K),HFM (kW/m²)
Peaks,,0,1.83519922752724,0,0,-0.118110416666666,-11.8110416666666,0,0,0,24.5701375781711,0.0221845754739655,22.9501172309941,23.1493592216505,0.000513558706826645,0.0513558706826645,0,0,1.92230668169864E-05,0.00182156642165886,0.00146209435957611,0,0,21.52,20.94495877,108.192376,0.00068931,0.05118909,1.005433,1.007979,0,-1,329.896,332.76,1042.155,0,0,0
peak HRR (kW/m²),414.890740515009,1,1.78299303553689,0,0,-0.0908179166666612,-9.08179166666612,0,0,0.00180909613153207,24.2480816175332,-0.00352512682470895,22.6509436179084,22.8453770330573,-8.05328513998199E-05,-0.00805328513998199,0.000256779353413322,0.0256779353413322,1.78056302516685E-05,0.00182723627989373,0.00142979221767991,0.00144594328862801,1.80909613153207,21.628181,20.94500781,105.382342,0.00068434,0.05126928,1.008005,1.0076,0,-1,329.92,332.752,1042.045,0,0,0
peak EHC (MJ/kg),74.5147955901222,2,1.37172465923742,0,0,-0.0285249166666685,-2.85249166666685,0,0,0.00338645497891922,24.5301809717562,0.0254096172420585,22.920296241377,23.1167138538017,0.000587386850919292,0.0587386850919292,0.000550472778872969,0.0550472778872969,-4.47650648525939E-06,0.00155092489955236,0.00112857570358659,0.00272512724926126,1.69322748945961,21.689969,20.94618064,107.876076,0.00058954,0.05047095,1.004862,1.007777,0,-1,330.004,332.832,1041.946,0,0,0
peak MLR (g/s),0.2963765,3,1.36677402423504,0.234982209960463,5.57435630761391,0.0581650000000001,5.81650000000001,-0.000150527727388168,0.025863504792807,0.00475570432065545,24.4290319042977,0.0140833276554578,22.8216353666891,23.0224306758006,0.000324232434632364,0.0324232434632364,0.0010062824216488,0.10062824216488,-8.7554452635328E-06,0.00150435075627362,0.00111653507206903,0.00384768263708907,1.58523477355182,21.679965,20.94620801,106.968814,0.00057135,0.05036271,1.006355,1.007972,0,-1,329.944,332.847,1041.824,0,0,0
peak SEA (m²/kg),4953.609151924,4,1.02308470696677,0.136592051076491,12.751160036977,0.0749007500000018,7.49007500000018,-0.000125243112395645,0.0200622485899402,0.00595063368625635,24.2198211642813,0.041841347376567,22.6322936549209,22.8260204324709,0.000955071450139629,0.0955071450139629,0.00164593436403479,0.164593436403479,-9.38080305076833E-06,0.001502677466073,0.000905815049023629,0.0048588576976354,1.48765842156409,21.591973,20.94695977,105.172855,0.00056836,0.05039317,1.003282,1.008079,0,-1,330.033,332.858,1041.668,0,0,0
peak COY (kg/kg),138.701355025339,5,1.00871292650172,0.187914286171463,13.7055751800161,0.0536794166666669,5.36794166666669,-0.000477159667163044,0.0279998563256667,0.0069665325029906,24.218455744712,0.0322279588129675,22.6290977184309,22.8282307611858,0.000735707280744414,0.0735707280744414,0.00249132372947681,0.249132372947681,-2.56136525901731E-05,0.00150301595431227,0.000890689221562828,0.00575710983292863,1.39330650059812,21.542193,20.94701611,105.152075,0.00049905,0.05039432,1.004688,1.008386,0,-1,330.005,332.909,1041.483,0,0,0
peak CO2Y (kg/kg),5441.62563206596,6,1.27694161048286,0.400243942802381,-4.08741482389756,0.0319040833333322,3.19040833333322,-0.00085890881979279,0.048068631597665,0.00810935977148289,24.4691119752628,-0.00565415788232352,22.8648286047219,23.063597775932,-0.000130405223159525,-0.0130405223159525,0.00285917736984902,0.285917736984902,-2.74026985624032E-05,0.00153358562821115,0.00105890633687595,0.00673190761214801,1.35155996191382,21.486602,20.94642796,107.347101,0.00049261,0.0504347,1.008743,1.008093,0,-1,330.027,332.896,1041.336,0,0,0
,,7,1.93912322328412,0,0,-0.00788091666666683,-0.788091666666683,0,0,0.00971739218836639,24.2224684426434,0.00412490383260695,22.6373049969238,22.8368825336313,9.41999442877705E-05,0.00941999442877705,0.00290627734199291,0.290627734199291,-1.08154561020853E-05,0.00150270184765846,0.00146427574350616,0.00799349865233907,1.38819888405234,21.48115,20.94487331,105.207641,0.00056224,0.05039279,1.007761,1.008235,0,-1,330.07,332.98,1041.134,0,0,0
Time To Peaks,,8,1.97604812113261,0.922801238061175,45.956305882283,0.0214135833333332,2.14135833333332,0.000744189203459557,0.0697608598470564,0.0116749778605747,24.133073462994,0.0432526314924583,22.5530085586588,22.7521228592533,0.000984089185702419,0.0984089185702419,0.003445421906988,0.3445421906988,1.59357575240481E-05,0.00149382998573992,0.00149580451814848,0.00947353878316639,1.45937223257184,21.486478,20.94473479,104.429039,0.00067669,0.05038372,1.003444,1.008404,0,-1,330.059,332.973,1040.957,0,0,0
t peak HRR (s),20,9,2.36699225011079,1.80720920031392,193.467873007571,0.013097499999998,1.3097499999998,0.00279992685087995,0.11638346967701,0.0138464980461964,24.4062671741271,0.11010103732568,22.8147421048281,23.0147283646459,0.00253394546671628,0.253394546671628,0.00520443923319735,0.520443923319735,3.66720419293945E-05,0.0015243324940944,0.00174785504251751,0.0110953685634994,1.53849978291072,21.44663,20.94386283,106.836853,0.00076378,0.05042037,0.995834,1.008412,0,-1,330.152,333.046,1040.775,0,0,0
