General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,270,20.91640388,104.068753,0.00580544,0.08047762,0.984834,0.997919,-0.129166,0.0024,0,0,-1,336.417,340.29,1041.475,0,0
,,271,20.91650273,102.975704,0.00560934,0.07932467,0.980147,0.997892,-0.163916,0.0023,0,0,-1,336.436,340.234,1041.529,0,0
,,272,20.91640979,106.536887,0.00549305,0.07926205,0.985179,0.997889,-0.134421,0.002,0,0,-1,336.364,340.204,1041.529,0,0
,,273,20.91840102,103.530785,0.00540314,0.07821768,0.99277,0.997652,-0.090735,0.0004,0,0,-1,336.346,340.109,1041.557,0,0
,,274,20.9185819,101.373902,0.00529577,0.07728791,0.989771,0.997762,-0.157886,0.0007,0,0,-1,336.359,340.161,1041.561,0,0
,,275,20.91855989,102.128175,0.00510734,0.07724717,0.990317,0.997747,-0.246199,0.0008,0,0,-1,336.318,340.112,1041.609,0,0
,,276,20.91838619,104.91993,0.00498525,0.07652976,0.982052,0.99765,-0.190981,0.0011,0,0,-1,336.372,340.144,1041.612,0,0
,,277,20.91862516,106.107973,0.00490686,0.07545764,0.983569,0.997053,-0.179671,0.0009,0,0,-1,336.297,340.09,1041.606,0,0
,,278,20.91864807,106.506518,0.00479228,0.07528332,0.988928,0.997366,-0.243419,0.0019,0,0,-1,336.32,340.038,1041.648,0,0
,,279,20.91928595,106.434772,0.00468245,0.07457446,0.985664,0.997153,-0.197409,0.0003,0,0,-1,336.261,340.044,1041.629,0,0
,,280,20.9207879,103.373098,0.00467004,0.07455847,0.987368,0.997836,-0.163865,0.0013,0,0,-1,336.244,339.962,1041.67,0,0
,,281,20.91927977,105.225614,0.00462362,0.07347555,0.983613,0.997339,-0.202065,-0.0004,0,0,-1,336.242,339.993,1041.65,0,0
,,282,20.92045649,104.174272,0.00461759,0.07341244,0.982426,0.997187,-0.244338,-0.0002,0,0,-1,336.158,339.903,1041.661,0,0
,,283,20.92123077,102.121863,0.00460037,0.07241105,0.987557,0.99739,-0.196148,-0.0008,0,0,-1,336.18,339.882,1041.633,0,0
,,284,20.92242447,103.87528,0.00440794,0.07234466,0.990325,0.997444,-0.195798,-0.0016,0,0,-1,336.114,339.876,1041.598,0,0
,,285,20.92283854,104.204871,0.00430817,0.07225306,0.988067,0.99822,-0.20443,0.0015,0,0,-1,336.13,339.798,1041.615,0,0
,,286,20.92344668,107.209856,0.00430312,0.0721844,0.981811,0.997816,-0.17204,-0.0009,0,0,-1,336.084,339.808,1041.558,0,0
,,287,20.92329562,104.4187,0.00430335,0.07147946,0.985029,0.997882,-0.150719,0.0004,0,0,-1,336.05,339.719,1041.55,0,0
,,288,20.92327891,104.265548,0.00420389,0.07143981,0.989882,0.997998,-0.204203,0.0014,0,0,-1,336.081,339.75,1041.51,0,0
,,289,20.92325378,102.765822,0.00408917,0.07134322,0.989716,0.99823,-0.257911,0.0006,0,0,-1,335.99,339.672,1041.474,0,0
,,290,20.92337155,105.934165,0.0040783,0.07043933,0.987102,0.998432,-0.227257,-0.0017,0,0,-1,336.043,339.641,1041.494,0,0
,,291,20.92349795,103.194498,0.00408083,0.07031797,0.986123,0.998382,-0.225,0.002,0,0,-1,335.977,339.676,1041.447,0,0
,,292,20.92321871,105.826892,0.00400123,0.07031607,0.978802,0.998241,-0.309789,0.0014,0,0,-1,336.001,339.617,1041.469,0,0
,,293,20.92471587,103.668428,0.00388943,0.06928648,0.982473,0.998289,-0.302132,-0.0012,0,0,-1,336.035,339.697,1041.425,0,0
,,294,20.9248398,105.187815,0.00380623,0.06919042,0.988584,0.998688,-0.251782,0.0004,0,0,-1,336.01,339.628,1041.429,0,0
,,295,20.92486052,107.137448,0.003799,0.06844553,0.985577,0.99877,-0.187494,0.0006,0,0,-1,336.055,339.663,1041.409,0,0
,,296,20.92464295,101.199456,0.00379723,0.0683078,0.986491,0.998785,-0.180207,-0.0006,0,0,-1,335.972,339.648,1041.383,0,0
,,297,20.92490093,104.732798,0.00369404,0.0683058,0.981496,0.998176,-0.218715,0.0012,0,0,-1,336.004,339.596,1041.406,0,0
,,298,20.92570704,102.619368,0.00361109,0.06840743,0.982148,0.998311,-0.261842,0.0005,0,0,-1,335.976,339.634,1041.374,0,0
,,299,20.92675611,102.126319,0.00360317,0.06759851,0.988278,0.998582,-0.321831,-0.0012,0,0,-1,335.97,339.569,1041.396,0,0
,,300,20.9277544,104.010996,0.00350244,0.06746276,0.986769,0.998698,-0.281039,-0.001,0,0,-1,335.988,339.6,1041.372,0,0
,,301,20.92714233,103.715782,0.00349148,0.06748164,0.988331,0.998553,-0.259166,-0.0025,0,0,-1,335.879,339.517,1041.458,0,0
,,302,20.92748407,101.850403,0.003491,0.06645212,0.98491,0.998876,-0.273608,0.0001,0,0,-1,335.914,339.503,1041.49,0,0
,,303,20.92751827,100.396381,0.00339066,0.06631273,0.981287,0.998567,-0.241858,-0.0001,0,0,-1,335.857,339.517,1041.477,0,0
,,304,20.92739947,101.125024,0.00337399,0.06632112,0.986545,0.998332,-0.244645,-0.0028,0,0,-1,335.897,339.491,1041.505,0,0
,,305,20.92743387,105.541221,0.0033002,0.06634552,0.990712,0.998266,-0.318391,0.0011,0,0,-1,335.903,339.556,1041.421,0,0
,,306,20.92904395,105.948451,0.00329982,0.06540683,0.991059,0.998241,-0.379027,0.0016,0,0,-1,335.873,339.488,1041.457,0,0
,,307,20.92969082,100.646208,0.00329275,0.06533852,0.987574,0.997895,-0.335981,0.0012,0,0,-1,335.922,339.518,1041.481,0,0
,,308,20.93033809,108.89684,0.00329738,0.06521318,0.984174,0.997551,-0.275555,-0.0009,0,0,-1,335.846,339.497,1041.487,0,0
,,309,20.92983218,104.830731,0.00318715,0.06521887,0.986073,0.997354,-0.305576,-0.0003,0,0,-1,335.897,339.469,1041.511,0,0
,,310,20.92927043,107.629141,0.00318119,0.06526369,0.989137,0.997459,-0.310813,-0.0018,0,0,-1,335.845,339.499,1041.52,0,0
,,311,20.92898529,106.880177,0.00318244,0.06527944,0.989195,0.997361,-0.268073,-0.0004,0,0,-1,335.85,339.449,1041.585,0,0
,,312,20.92917303,104.10816,0.00307661,0.06525503,0.988155,0.997298,-0.272232,-0.001,0,0,-1,335.876,339.496,1041.613,0,0
,,313,20.92919277,102.778144,0.00299111,0.06449352,0.982176,0.997511,-0.295317,0.0011,0,0,-1,335.826,339.434,1041.662,0,0
,,314,20.92887421,109.31485,0.00298609,0.06442531,0.986015,0.997568,-0.311971,0.0014,0,0,-1,335.888,339.467,1041.694,0,0
,,315,20.92994205,107.41641,0.00280558,0.06442227,0.9884,0.997298,-0.311141,0.0001,0,0,-1,335.828,339.463,1041.675,0,0
,,316,20.9291826,102.005748,0.00279178,0.06443741,0.986845,0.997803,-0.366142,-0.0021,0,0,-1,335.84,339.382,1041.715,0,0
,,317,20.92866824,101.711872,0.00278996,0.06440031,0.986879,0.997636,-0.390366,-0.0023,0,0,-1,335.786,339.38,1041.703,0,0
,,318,20.93076424,103.008409,0.00279042,0.06436023,0.982849,0.997229,-0.293457,-0.0018,0,0,-1,335.715,339.263,1041.738,0,0
