Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g),Oxygen (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),APT (kPa),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Soot MFM (g/s),Spare TC (K),HFM (kW/m²)
Total smoke production (m²),0.954040821620069,28,137.807129640222,10.8197453780477,284.308607643937,0.127366333333333,12.7366333333333,0.0236449214110638,1.55773227911165,8.74218000409077,22.4590488690038,1.58654259119832,22.2347050793124,22.8240610063692,0.0362113448907136,3.62113448907136,0.588784132527752,58.8784132527752,0.00301156694208202,0.198402648705428,0.115622773523231,6.16525097864099,312.220714431813,0.503108999999999,20.4833552,95.813542,0.01455472,0.62977658,0.824143,0.987533,0,-1,349.655,358.923,1041.163,0,0,0
MARHE (kW/m²),405.122224332176,29,122.227167886328,9.41758659689332,302.395886242316,0.129786083333333,12.9786083333333,0.0224246575355701,1.44643182017703,8.87219715285404,22.2243929373507,1.73617690997334,22.0185021873262,22.6052872066506,0.0392467776915024,3.92467776915024,0.62651319381886,62.651319381886,0.00291040847163297,0.187726720749481,0.104411886195536,6.27526830850037,305.937832857036,0.390434999999999,20.52409382,93.890541,0.01423046,0.60430157,0.809901,0.987164,0,-1,349.911,359.236,1041.198,0,0,0
,,30,92.6945531013031,7.85478275359811,289.571850672785,0.118010333333333,11.8010333333333,0.0239618926957481,1.5062353602271,8.97965801334786,22.3991899605375,1.49845823999151,22.2112769259656,22.8050870620452,0.0341724706218456,3.41724706218456,0.663222817975534,66.3222817975534,0.0028277509443228,0.177751336938853,0.0847735135157434,6.36986100835601,299.321933778262,0.247628,20.60676941,95.457488,0.01374321,0.57065511,0.831899,0.986867,0,-1,350.22,359.583,1041.226,0,0,0
Test Averages,,31,93.1152991790366,16.6182111461207,583.436956783404,0.0560320833333334,5.60320833333334,0.0502141181280758,3.04589938457536,9.07256293948803,22.6805199015278,1.41504217435465,22.4984023321074,23.1026246246996,0.0326911881822341,3.26911881822341,0.696654647377574,69.6654647377574,0.00281360165146219,0.170668088141476,0.0839593145724938,6.45422742240013,292.663320628646,0.165261999999999,20.61426788,97.905896,0.01351678,0.54362417,0.839457,0.986408,0,-1,350.347,359.756,1041.205,0,0,0
HRR(60) (kW/m²),144.212096664291,32,81.0052046642542,12.0773504091505,469.95805478007,0.067072,6.7072,0.0421238240286454,2.34822223881564,9.15962319140967,22.8126866746213,1.35613255371858,22.6398425186196,23.243322759104,0.0315210266502089,3.15210266502089,0.728760754793796,72.8760754793796,0.0028253291252493,0.157499962001842,0.0745643407084325,6.53348925004059,286.238224731552,0.117848999999999,20.65348533,99.095515,0.01349562,0.50276743,0.844979,0.986251,0,-1,350.507,359.85,1041.218,0,0,0
HRR(120) (kW/m²),82.5095606925657,33,68.3878836258702,6.36155017011667,211.655361520901,0.107501916666667,10.7501916666667,0.0262869101251254,1.369368656828,9.23431973555473,22.9527565953453,0.972800279528584,22.7788511760398,23.3895461536044,0.0227533570362731,2.27533570362731,0.755897946637037,75.5897946637037,0.00282589322169539,0.147209755232269,0.0652926185599606,6.60341772967479,279.827870774386,0.0245879999999994,20.69185346,100.316144,0.01342001,0.47049045,0.882972,0.986529,0,-1,350.507,359.904,1041.183,0,0,0
HRR(180) (kW/m²),,34,56.9648418147,12.0359911923936,427.149535990709,0.0473287499999999,4.73287499999999,0.0607582769148565,2.92504730831205,9.29699609827502,22.9041908206776,0.866473224166474,22.7300697110827,23.3318849765588,0.0202164536015202,2.02164536015202,0.777382851955933,77.7382851955933,0.00287561329853401,0.138438832793274,0.057003344324858,6.6645657111172,273.441061713971,-0.0729000000000006,20.72406528,99.88951,0.01367147,0.44618398,0.893209,0.985943,0,-1,350.498,359.778,1041.184,0,0,0
HRR(240) (kW/m²),,35,50.1510595679684,0,0,-0.01081525,-1.081525,0,0,9.35055404896636,22.7530748005757,0.615229386541733,22.5750775104453,23.1722779228699,0.0142562663312618,1.42562663312618,0.794619211922325,79.4619211922325,0.00296166043971671,0.127948481827599,0.0512855590533188,6.71871016280629,267.158687113324,-0.0707070000000005,20.74531492,98.55383,0.01414874,0.41848377,0.919052,0.985825,0,-1,350.42,359.69,1041.148,0,0,0
HRR(300) (kW/m²),,36,46.2390794269786,13.3096250866227,351.875704772389,0.0347410833333334,3.47410833333334,0.091151303962775,3.40846316724387,9.39874911846383,23.293164598224,0.515690997897648,23.098213426617,23.7051707947387,0.012224543182473,1.2224543182473,0.807859616679192,80.7859616679192,0.00316669504691277,0.118413702931817,0.0475345637805107,6.7681202242232,261.076364401773,-0.0765660000000006,20.76462115,103.231217,0.01474685,0.38296423,0.929643,0.985934,0,-1,350.227,359.43,1041.116,0,0,0
HRR(360) (kW/m²),,37,39.9233220467474,8.46139341677283,183.462292417529,0.0471829166666666,4.71829166666666,0.067390716145435,2.18990729580868,9.44183031920069,22.4190991683946,0.379655891120669,22.2225766293808,22.8003469906927,0.00865628605461191,0.865628605461191,0.818300031297734,81.8300031297734,0.00317969054399705,0.103326213445866,0.0413915757847013,6.81258329400581,255.18460322164,-0.134523000000001,20.782221,95.59094,0.01535486,0.35171893,0.944495,0.986271,0,-1,350.087,359.189,1041.103,0,0,0
