Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g),Oxygen (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),APT (kPa),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Soot MFM (g/s),Spare TC (K),HFM (kW/m²)
Peaks,,0,0.212786699478978,0,0,-0.0084025000000049,-0.84025000000049,0,0,0,24.9008128879837,-0.00782529216911381,22.9884657496719,23.1750898540192,-0.000181351849153166,-0.0181351849153166,0,0,6.16625998398659E-05,0.00168753663179232,0.000510803919774643,0,0,21.9,20.94656522,109.831692,0.00130332,0.05247674,1.027268,1.026352,0,-1,326.059,328.706,1042.802,0,0,0
peak HRR (kW/m²),379.112207132499,1,0.233493948484356,0.166053917469419,-96.0846892272511,0.0140613333333347,1.40613333333347,0.00261623122128845,0.118467331595996,0.000223140323981667,24.8706182148632,-0.0583727284579772,22.9626321215345,23.1457202557681,-0.00135107884345426,-0.135107884345426,0,0,3.67876992796143E-05,0.001665808638682,0.000510192763203248,0.000510498341488946,0.223140323981667,21.89904,20.94656519,109.575235,0.00120021,0.05242466,1.034015,1.027157,0,-1,326.088,328.688,1042.778,0,0,0
peak EHC (MJ/kg),78.1194212174898,2,0.217765401588085,0.0405762699032796,-5.29395290155973,0.0536681666666663,5.36681666666663,0.000632576088277173,0.02366988410694,0.000448769999017888,24.9038834080053,-0.0122539624843177,22.9986337789104,23.1857039720821,-0.000284116746646389,-0.0284116746646389,0,0,3.39491989350071E-05,0.00127031928523193,0.000439344183281536,0.000985266814731338,0.224384999508944,21.866163,20.94682517,109.893821,0.00118822,0.05137366,1.029387,1.02795,0,-1,326.163,328.816,1042.643,0,0,0
peak MLR (g/s),0.294239666666666,3,0.193720375940917,0.0165079027162387,3.11428921029866,0.117350083333333,11.7350083333333,0.000287694547871799,0.0102880786281268,0.000654512887782389,24.8380569428279,0.0158021930882262,22.938546572571,23.1273024137988,0.000365462098352649,0.0365462098352649,0.000182731049176325,0.0182731049176325,3.37609791673013E-05,0.00120730688435057,0.000414734304090116,0.00141230605841716,0.218170962594129,21.789516,20.94691062,109.316993,0.00118781,0.0512156,1.027135,1.028987,0,-1,326.173,328.857,1042.402,0,0,0
peak SEA (m²/kg),3548.68508242944,4,0.432927607245197,0.106536637566028,-5.97119104511293,0.0406365000000006,4.06365000000006,0.000238982326991722,0.0288943511136542,0.000967836879375446,24.5883723908774,-0.01059539907121,22.7179820358654,22.9012898215475,-0.000242648304904735,-0.0242648304904735,0.000365462098352649,0.0365462098352649,9.71140533079926E-06,0.00117416529903003,0.000545148268531402,0.00189224734472792,0.241959219843861,21.667826,20.9464152,107.177518,0.0010881,0.05115938,1.031358,1.030113,0,-1,326.317,328.95,1042.193,0,0,0
peak COY (kg/kg),20.8347365841007,5,0.482505812712843,0,0,-0.0913624999999995,-9.13624999999995,0,0,0.00142555358935447,24.4653082582234,-0.000799958675030192,22.6040020721998,22.7917955392628,-1.82324945611477E-05,-0.00182324945611477,0.000365462098352649,0.0365462098352649,7.27549217373071E-06,0.00120876519691655,0.000579217763127567,0.00245443036055741,0.285110717870893,21.720545,20.94627906,106.106061,0.00107801,0.05126826,1.030802,1.030708,0,-1,326.313,329.024,1041.955,0,0,0
peak CO2Y (kg/kg),136.971048297586,6,0.532269783332018,0,0,-0.0265125833333328,-2.65125833333328,0,0,0.0019329413873769,24.8342944478907,-0.0328889909611803,22.9500490543761,23.1361746230185,-0.000760925438052747,-0.0760925438052747,0.000365462098352649,0.0365462098352649,6.41973868339315E-06,0.00093031861710202,0.000568289330776578,0.00302818390750948,0.322156897896149,21.802033,20.94635073,109.355242,0.00107399,0.05048207,1.035987,1.03211,0,-1,326.386,329.033,1041.724,0,0,0
,,7,0.348093970668882,0.0690507367395303,8.86670637576005,0.050411333333335,5.0411333333335,9.46013354328511E-05,0.0182683114929054,0.00237312326437735,24.755377405789,0.0193741595287947,22.8800635359575,23.0710648383442,0.000446982490677246,0.0446982490677246,0.000588953343691272,0.0588953343691272,4.76897945428409E-06,0.000920929940106049,0.000453517176415793,0.00353908716110567,0.339017609196764,21.766822,20.94676377,108.675323,0.00106718,0.05046497,1.030711,1.03299,0,-1,326.428,329.153,1041.397,0,0,0
Time To Peaks,,8,0.181036957541403,0.0351919284138978,25.2260389016112,0.0514427499999996,5.14427499999996,0.000595415496820333,0.0167259497464102,0.00263768872848249,23.9505176532094,0.0581404940556371,22.1363784068704,22.3200169483258,0.00129769681270585,0.129769681270585,0.00146129299538282,0.146129299538282,3.0629810549054E-05,0.000860428851317136,0.00034935604268763,0.00394052377065738,0.329711091060311,21.719891,20.94710169,101.724517,0.0011795,0.050381,1.027063,1.033893,0,-1,326.431,329.139,1041.182,0,0,0
t peak HRR (s),29,9,0.309912235262669,0.0684788028126986,39.5852092640731,0.0452566666666666,4.52566666666666,0.00126286101777035,0.0194147012590497,0.00288316332488452,24.3461451903594,0.0789367120838749,22.5085187670642,22.6953286158009,0.0017914946205944,0.17914946205944,0.00300588871203295,0.300588871203295,5.715288012756E-05,0.000878644663313727,0.000442808462612012,0.0043366060233072,0.320351480542725,21.668345,20.94677571,105.143223,0.00129,0.05039182,1.025511,1.034781,0,-1,326.525,329.235,1040.905,0,0,0
