Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g),Oxygen (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),APT (kPa),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Soot MFM (g/s),Spare TC (K),HFM (kW/m²)
Peaks,,0,72.3092673091108,12.2464847765525,-8.6284508332044,0.0590449166666639,5.90449166666639,0.0033371381274491,0.110401436623591,0,24.6514244116084,-0.0219395686662642,23.0273008176963,23.2213389496737,-0.00050946616040896,-0.050946616040896,0,0,0.000197041042640379,0.00651864362531988,0.0453735674090366,0,0,5.2,20.78361666,108.915381,0.00139046,0.06535276,1.002808,1.000303,0,-1,329.914,332.694,1042.823,0,0,0
peak HRR (kW/m²),446.406050098861,1,188.625711402243,17.4303081909197,2.12638286868649,0.108217083333333,10.8217083333333,0.00345090471710816,0.138696741625159,0.130467489355677,23.9880916695759,0.010183666843977,22.4080103966933,22.5960801374128,0.000230110952099218,0.0230110952099218,0.000115055476049609,0.0115055476049609,0.000373446843346687,0.0150093568465117,0.118488875088365,0.0819312212487009,130.467489355677,5.103285,20.50312642,103.134308,0.00217373,0.08912796,0.999473,1.000634,0,-1,329.919,332.688,1042.671,0,0,0
peak EHC (MJ/kg),57.5681587013204,2,332.78660134541,55.9542665325051,19.2850067510399,0.0594747499999999,5.94747499999999,0.00994813380959653,0.435060676341821,0.391173645729504,24.3593586242671,0.0499707690379725,22.7617193123904,22.9528377759172,0.00114697095526641,0.114697095526641,0.000803596429732421,0.0803596429732421,0.0005916627712923,0.0258751249602607,0.210091563815377,0.246221440700572,195.586822864752,5.016204,20.16956753,106.383696,0.0030755,0.11785588,0.994937,1.000621,0,-1,330.019,332.79,1042.439,0,0,0
peak MLR (g/s),0.285343666666667,3,388.837166652389,0,19.1855831354811,0.0453459166666668,4.53459166666668,0.0171517317196638,0.823230529277243,0.751985529728404,24.0629993297888,0.0383679060537325,22.4829575573669,22.6748849114819,0.000869987854062934,0.0869987854062934,0.00181207583439709,0.181207583439709,0.0007777609972489,0.0373301429780619,0.247145077191075,0.474839761203798,250.661843242801,4.977578,20.02057564,103.802392,0.00390613,0.15004545,0.996003,1.000369,0,-1,329.992,332.809,1042.153,0,0,0
peak SEA (m²/kg),448.953273088879,4,445.947006520013,41.7811901265386,1.40761505935563,0.106733916666667,10.6733916666667,0.0091142717414652,0.53639150285517,1.1693776163146,24.5170368710312,0.00650225983291948,22.9141929186256,23.1058543190441,0.000150240268444009,0.0150240268444009,0.00232218989565056,0.232218989565056,0.000972801920530903,0.0572511659664519,0.286125479456414,0.741475039527542,292.344404078651,4.908041,19.89388183,107.789562,0.00466684,0.20162825,0.999282,1.000023,0,-1,330.093,332.854,1041.934,0,0,0
peak COY (kg/kg),0.286163724054962,5,446.406050098861,57.5681587013204,40.4022039132485,0.0775439166666663,7.75439166666663,0.0140602111426536,0.868379971442963,1.61555414462404,23.8849122704507,0.139141818703364,22.3227182879784,22.5162008272849,0.0031329451333986,0.31329451333986,0.00396378259657187,0.396378259657187,0.00109028384116166,0.0673375841405752,0.288051435113732,1.02856349681262,323.110828924808,4.782132,19.85862695,102.299825,0.00528403,0.23348668,0.984449,1.000189,0,-1,330.083,332.944,1041.729,0,0,0
peak CO2Y (kg/kg),5.74925588982623,6,445.03722914216,36.4911236255882,106.627079634193,0.121957666666666,12.1957666666666,0.0100978609730372,0.687367110645398,2.06127578424455,23.889644310462,0.577128442733357,22.3332961587259,22.5322283096609,0.013003989835667,1.3003989835667,0.0120322500811047,1.20322500811047,0.001231511562596,0.0838296889577211,0.289625123520321,1.31740177612964,343.545964040759,4.733443,19.85288076,102.368578,0.00589438,0.2788819,0.936722,1.000424,0,-1,330.174,333.115,1041.795,0,0,0
,,7,392.963433023094,13.8698646688118,39.0270149118419,0.28332175,28.332175,0.00432532740309281,0.326307300369215,2.48027611532718,21.7977212869348,0.53564938385605,20.4356713318186,20.6426115577698,0.0110572021620992,1.10572021620992,0.0240628460799878,2.40628460799878,0.00122545932916721,0.0924499553783817,0.258325071830004,1.5913768738048,354.325159332454,4.511321,19.8775408,85.468123,0.00637723,0.3270702,0.941033,1.000287,0,-1,331.114,334.467,1041.882,0,0,0
Time To Peaks,,8,368.331667429504,12.908352644805,33.1882926907655,0.285343666666667,28.5343666666667,0.00454557265910595,0.379665163103753,2.86092366555348,21.1400436922215,0.470335537805491,19.9146191423992,20.134708873957,0.00947006912678957,0.947006912678957,0.0343264817244322,3.43264817244322,0.00129705036964904,0.108335049745623,0.245215188274155,1.84314700385688,357.615458194185,4.205045,19.90030071,80.775945,0.00690826,0.38520522,0.94741,0.999595,0,-1,332.71,336.387,1041.872,0,0,0
t peak HRR (s),5,9,357.124169209765,14.6673293779443,46.7630741814766,0.24348275,24.348275,0.00597369558920848,0.511768748434036,3.22365158387311,21.0699995469691,0.563921110716551,19.9503512230692,20.1907708078036,0.0113860019001599,1.13860019001599,0.0447545172379069,4.47545172379069,0.00145449182972335,0.124606862232777,0.240586305286596,2.08604775063726,358.183509319235,3.954809,19.91669537,80.65276,0.00770201,0.43715011,0.937191,0.999419,0,-1,334.415,338.445,1041.855,0,0,0
t peak EHC (s),5,10,351.950920790165,13.3905439858022,46.6177463723728,0.262835416666667,26.2835416666667,0.00643793134998714,0.543073712938012,3.57818912887308,21.6025981756477,0.588559517901599,20.5391785180682,20.8182765194737,0.0122527947918436,1.22527947918436,0.0565739155839087,5.65739155839087,0.00169211636884527,0.142739005620776,0.239989305755411,2.32633555615826,357.818912887308,3.705471,19.94467757,85.132075,0.00866344,0.48279268,0.934106,0.998931,0,-1,335.797,340.36,1041.731,0,0,0
t peak MLR (s),8,11,331.132655849826,12.9313965819658,49.8885150292466,0.25606875,25.606875,0.00704861568611928,0.616787372230834,3.91973091719307,21.3968029229459,0.616228750944377,20.4312376963523,20.7307589321623,0.0127748896828954,1.27748896828954,0.0690877578212782,6.90877578212782,0.00180493020797496,0.157939971422934,0.229199514231159,2.56092996615155,356.339174290279,3.436522,19.98064956,83.877934,0.00928653,0.53372887,0.931057,0.998816,0,-1,337.245,342.189,1041.679,0,0,0
